Add,Alloc,B,Constraints,CyclesLS,DeactivateImprovedTimes,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
34,opp,1250,96,4,3,false,10.474948060105326,55.632740478629295,10,1137552,101.78179338927274,4,relax,62,0,1,155,4,3976,12976,75806,9000,1800000,17148,105930,1336167,1117638,1000566,2255190
33,opp,1250,90,3,3,false,11.743863273314892,36.59643201817892,10,444384,39.19742931815716,3,pdisp,62,0,1,155,3,3153,3192,48161,39,1800000,7071,58424,2498216,1133707,1000566,1578091
34,opp,1250,95,3,2,false,13.158469905872872,54.48231331032041,11,1005210,90.78634352878274,3,relax,62,0,1,155,3,3377,11377,55239,8000,1800000,14333,80949,1277268,1107226,961532,2112436
27,opp,1250,73,4,4,false,8.989700986929595,39.31794759491866,11,528032,49.978940075285685,3,pdisp,62,0,1,155,4,3512,3514,66362,2,1800000,6760,76636,2318105,1056509,961532,1584541
31,opp,1250,83,5,4,false,13.302838333593847,46.642458688559095,12,679576,62.48342696370942,5,relax,62,0,1,155,5,3863,11863,77774,8000,1800000,13282,102919,1218741,1087610,942927,1767186
33,opp,1250,89,4,3,false,12.529638328899184,43.86985131204707,12,601898,55.83490105714678,4,pdisp,62,0,1,155,4,3482,3483,59049,1,1800000,11129,73661,2340413,1077996,942927,1679894
36,opp,1250,102,4,4,false,11.292002133441702,59.47865042318297,13,1357811,118.9166915539005,4,relax,62,1,1,155,4,3146,11146,69453,8000,1800000,12012,92611,1558321,1141817,1012883,2499628
31,opp,1250,86,4,3,false,11.910118808970726,41.73649890822409,13,588623,51.19222075630376,4,pdisp,62,0,1,155,4,3720,3721,62153,1,1800000,7110,72984,2676121,1149829,1012883,1738452
30,opp,1250,86,4,2,false,12.277525004189904,44.85171514724795,14,666100,59.0665516253721,4,relax,62,1,1,155,4,3102,12102,60947,9000,1800000,7456,80505,1444117,1127711,989256,1793811
26,opp,1250,73,4,3,false,9.24431731131785,40.16823555881349,14,563375,51.68478405461913,4,pdisp,62,0,1,155,4,3538,3540,72923,2,1800000,6064,82527,2561907,1090021,989256,1653396
34,opp,1250,97,5,4,false,10.02344172402374,42.41897992254925,15,601447,56.26079245374797,4,relax,62,0,1,155,5,3620,13620,79876,10000,1800000,8644,102140,1205092,1069034,961880,1670481
30,opp,1250,81,5,3,false,7.171554279085612,39.70013058243024,15,558970,53.944687803696425,4,pdisp,62,1,1,155,5,3572,3573,69591,1,1800000,4990,78154,2297217,1036191,961880,1595161
36,opp,1250,100,3,3,false,11.798686996167508,44.66149136698768,16,666757,59.385056053382314,3,relax,62,1,1,155,3,3665,11665,48739,8000,1800000,11060,71464,1228677,1122769,990297,1789526
32,opp,1250,84,5,4,false,10.043411475199871,43.204051376315164,16,642744,58.38557274714973,5,pdisp,62,1,1,155,5,3421,3423,77298,2,1800000,11035,91756,2359466,1100861,990297,1743605
37,opp,1250,106,4,3,false,9.733266093309167,52.72583212580215,17,1000860,90.94304133898513,4,relax,62,2,1,155,4,3517,10517,76243,7000,1800000,16352,103112,1329962,1100535,993417,2101395
32,opp,1250,90,3,2,false,9.61500143299715,37.8135716083186,17,498387,45.345215836665616,2,pdisp,62,0,1,155,3,3343,3345,45831,2,1800000,4983,54159,2461972,1099095,993417,1597482
31,opp,1250,86,4,3,false,15.304739509958287,39.13568613535797,18,453575,39.15421880611033,4,relax,62,1,1,155,4,3303,11303,68846,8000,1800000,7854,88003,1260007,1158432,981137,1612007
30,opp,1250,80,3,2,false,10.378067706720529,38.70414542019594,18,505907,46.21206100748024,3,pdisp,62,0,1,155,3,3296,3298,48179,2,1800000,7844,59321,2342167,1094751,981137,1600658
35,opp,1250,96,4,3,false,12.034074573367581,42.31488909877123,19,580969,52.493293420640086,3,relax,62,0,1,155,4,3589,14589,62675,11000,1800000,16647,93911,1093428,1106749,973562,1687718
33,opp,1250,79,3,3,false,10.99048888571943,35.53265442207232,19,416390,38.06914231746441,3,pdisp,62,0,1,155,3,3779,3781,53575,2,1800000,5940,63296,2161929,1093773,973562,1510163
37,opp,1250,98,3,2,false,10.699273726198545,54.41813227049545,1,1019515,95.91282832844134,3,relax,62,1,1,155,3,3558,12558,48087,9000,1800000,12515,73160,1235295,1062960,949231,2082475
33,opp,1250,87,5,3,false,9.96900424721484,28.003856051854946,1,264109,25.049746855372756,5,pdisp,62,0,1,155,5,3379,3381,67637,2,1800000,4523,75541,2320598,1054338,949231,1318447
30,opp,1250,85,5,3,false,10.539034192460573,48.66332178195609,20,807324,74.26325370638325,4,relax,62,0,1,155,5,3546,10546,67233,7000,1800000,9933,87712,1363100,1087111,972540,1894435
33,opp,1250,91,4,3,false,11.558408607900217,48.23051458082814,20,778956,70.83730053717532,4,pdisp,62,0,1,155,3,3657,3658,65490,1,1800000,15340,84488,2465609,1099641,972540,1878597
31,opp,1250,84,4,4,false,10.417809371274778,40.96660841256674,21,566073,51.74833805041795,4,relax,62,0,1,155,3,3625,11625,67155,8000,105000,9494,88274,1300401,1093896,979936,1659969
34,opp,1250,92,3,3,false,9.805267900451643,40.192190909229616,21,552008,50.807617718715804,3,pdisp,62,0,1,155,3,3533,3534,55152,1,105000,12600,71286,2365977,1086467,979936,1638475
33,opp,1250,96,3,3,false,11.39432772804434,57.87520283914447,2,1216804,110.34088765724069,3,relax,62,1,1,155,3,2891,10891,62478,8000,1800000,21972,95341,1325401,1102768,977115,2319572
27,opp,1250,78,5,5,false,5.594213036320217,40.83795564398207,2,616575,59.571542855376144,5,pdisp,62,0,1,155,4,3809,3811,84597,2,1800000,8403,96811,2378953,1035016,977115,1651591
35,opp,1250,100,3,3,false,12.792421630121675,48.5934103162034,3,790092,69.64280047809946,3,relax,62,0,1,155,3,3579,10579,56345,7000,1800000,14730,81654,1330238,1134492,989363,1924584
30,opp,1250,79,5,3,false,9.813092631452292,45.6538480975389,3,723470,65.94902161686177,5,pdisp,62,0,1,155,4,3356,3357,68283,1,1800000,15218,86858,2380493,1097014,989363,1820484
34,opp,1250,100,4,4,false,12.401167866934381,47.585410614971494,4,746526,67.12681175384157,4,relax,62,0,1,155,4,3482,11482,73945,8000,1800000,12811,98238,1244939,1112113,974198,1858639
27,opp,1250,78,3,3,false,9.178474639001877,37.50093023852599,4,486089,45.316603443244816,3,pdisp,62,0,1,155,2,3723,3725,56649,2,1800000,6447,66821,2320237,1072651,974198,1558740
33,opp,1250,89,4,3,false,11.406970253695647,46.67074245330461,5,715524,66.12462618428884,3,relax,62,0,1,155,3,3297,12297,66809,9000,1800000,16859,95965,1172943,1082084,958651,1797608
30,opp,1250,84,3,2,false,12.25644358204584,32.236924882131326,5,322150,29.48579483048986,3,pdisp,62,0,1,155,3,3091,3093,59734,2,1800000,5644,68471,2250815,1092560,958651,1414710
34,opp,1250,92,4,3,false,11.080458116233572,52.6105450160669,6,950128,87.63571329088646,3,relax,62,1,1,155,4,3596,11596,65725,8000,1800000,13480,90801,1278441,1084179,964047,2034307
28,opp,1250,80,4,3,false,8.637071828230901,33.93920373211598,6,404149,38.30128205128205,4,pdisp,62,0,1,155,4,3540,3542,68115,2,1800000,6157,77814,2314975,1055184,964047,1459333
35,opp,1250,90,4,2,false,11.807268196902854,43.05036164148006,7,602397,54.86091632029317,4,relax,62,0,1,155,4,3011,10011,71665,7000,1800000,8629,90305,1274880,1098044,968395,1700441
26,opp,1250,69,3,2,false,12.292277260722607,37.08109070401451,7,435000,39.39803426451569,3,pdisp,62,0,1,155,2,3897,3898,38959,1,1800000,7222,50079,2335379,1104116,968395,1539116
33,opp,1250,90,5,3,false,12.711040239563133,42.9321131574654,8,598437,52.956355298892,5,relax,62,1,1,155,5,3320,10320,80021,7000,1800000,12526,102867,1176476,1130057,986415,1728494
31,opp,1250,76,3,2,false,12.233943166470029,37.47064226638851,8,453609,40.359760622254015,3,pdisp,62,0,1,155,3,3595,3596,38651,1,1800000,6593,48840,2250825,1123914,986415,1577523
35,opp,1250,97,6,3,false,11.448303872179332,51.77012567288519,9,897486,83.60341461233493,5,relax,62,0,1,155,6,3027,12027,72199,9000,1800000,14480,98706,1260578,1073504,950606,1970990
30,opp,1250,80,5,4,false,8.761210418010378,44.120786748021956,9,659292,63.278586565926474,5,pdisp,62,0,1,155,5,2698,2700,68291,2,1800000,9831,80822,2320695,1041888,950606,1701180
