instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_10_first_instance_set_medium_2000_400_30,10,relaxed,2000,400,30,310.62000012397766,7.398999929428101,1.2910001277923584,84.93500018119812,407.24000000953674,2.3884424691998884e6,2.387339e6,2.389085e6,1.752478e6,83,0.0415,0,1,0,9,636607.0,8,8,4,success,
inst_10_first_instance_set_medium_2000_400_30,10,pdisp,2000,400,30,0.037000179290771484,5.241999864578247,0.006999969482421875,39.895999908447266,45.22500014305115,2.411919844416051e6,2.415258e6,2.415899e6,1.701781e6,83,0.0415,0,2,0,6,714118.0,5,4,3,success,
inst_10_first_instance_set_medium_2000_400_30,10,multi_pdp,2000,400,30,300.8989999294281,6.359999895095825,0.016000032424926758,15.046000003814697,322.47499990463257,1.6959120699266803e6,1.695123e6,1.696243e6,1.525194e6,81,0.0405,0,1,0,4,171049.0,3,3,1,success,
inst_10_first_instance_set_medium_2000_400_30,10,multi_p_median,2000,400,30,128.35800004005432,6.390000104904175,0.008999824523925781,6.793000221252441,141.90899991989136,1.4357517842150794e6,1.434454e6,1.434454e6,1.401971e6,80,0.04,0,0,0,2,32483.0,1,1,0,success,
inst_10_first_instance_set_medium_2000_400_30,10,multi_p_median_benders,2000,400,30,68.28200006484985,5.444000005722046,0.018999814987182617,6.692000150680542,80.48199987411499,1.4543384567068908e6,1.455007e6,1.455007e6,1.419404e6,76,0.038,0,0,0,2,35603.0,1,1,0,success,
inst_11_first_instance_set_medium_2000_400_30,11,relaxed,2000,400,30,0.0,0.0,0.0,0.0,307.5639998912811,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_11_first_instance_set_medium_2000_400_30,11,pdisp,2000,400,30,0.003000020980834961,7.299000024795532,0.018000125885009766,77.9449999332428,85.30399990081787,2.7878810449682088e6,2.785466e6,2.790656e6,1.654252e6,91,0.0455,0,5,0,9,1.136404e6,8,8,6,success,
inst_11_first_instance_set_medium_2000_400_30,11,multi_pdp,2000,400,30,300.4100000858307,6.33299994468689,0.018000125885009766,16.603999853134155,323.39800000190735,1.7464606004740535e6,1.747813e6,1.747813e6,1.544122e6,76,0.038,0,0,0,4,203691.0,3,3,1,success,
inst_11_first_instance_set_medium_2000_400_30,11,multi_p_median,2000,400,30,305.02300000190735,6.523000001907349,0.01900005340576172,2.740000009536743,314.34800004959106,1.455415673158764e6,1.454821e6,1.454821e6,1.435105e6,74,0.037,0,0,0,3,19716.0,2,1,0,success,
inst_11_first_instance_set_medium_2000_400_30,11,multi_p_median_benders,2000,400,30,212.231999874115,5.656000137329102,0.010999917984008789,3.078000068664551,220.99599981307983,1.455415673158764e6,1.454821e6,1.454821e6,1.435105e6,74,0.037,0,0,0,3,19716.0,2,1,0,success,
inst_12_first_instance_set_medium_2000_400_30,12,relaxed,2000,400,30,307.3900001049042,6.941999912261963,0.019999980926513672,15.865000009536743,330.25,2.7288652956719515e6,2.733724e6,2.732553e6,2.289274e6,87,0.0435,1,1,0,4,443279.0,3,3,2,success,
