instance_id,p,best_value,best_bound,optimality_gap,time
1,40,1880850,1794874.04,0.045711227,7200
1,60,1521739,1460409.827,0.040302031,7200
1,80,1513330,1263646.217,0.164989647,7200
2,40,1853521,1785776.653,0.036549004,7200
2,60,1543856,1452255.467,0.059332303,7200
2,80,2461567,1263001.559,0.486911565,7200
3,40,1826270,1790013.747,0.019852625,7200
3,60,1621872,1468698.875,0.094442179,7202
3,80,1310638,1274080.286,0.027893068,7200
4,40,1874595,1782466.591,0.049145767,7200
4,60,1514393,1452269.237,0.04102222,7200
4,80,1339185,1260415.204,0.058819204,7200
5,40,0,1801723.378,1,7200
5,60,1572902,1472799.132,0.063642152,7200
5,80,1372549,1279482.847,0.067805341,7200
6,40,1851892,1800686.411,0.027650419,7200
6,60,1515493,1458380.972,0.037685445,7200
6,80,1313308,1272683.3,0.030933109,7202
7,40,0,1792520.699,1,7200
7,60,1553132,1458808.903,0.060730895,7200
7,80,1894694,1264837.357,0.332431856,7200
8,40,1834423,1777134.317,0.031229811,7200
8,60,2452617,1465004.494,0.402677021,7219
8,80,2505154,1274026.474,0.491437862,7201
9,40,2252618,1791074.762,0.204891925,7200
9,60,1557537,1459407.936,0.063002717,7200
9,80,1648997,1260444.981,0.235629306,7200
10,40,2105791,1781725.982,0.153892299,7200
10,60,1549406,1455244.794,0.060772454,7201
10,80,2289261,1267130.015,0.446489494,7200
11,40,1864806,1787509.576,0.041450116,7200
11,60,1508808,1457923.394,0.033725037,7200
11,80,2142839,1262616.984,0.410773752,7200
12,40,1944760,1800984.191,0.073929847,7200
12,60,3382406,1469189.604,0.565637714,7200
12,80,1424421,1270171.092,0.10828955,7200
13,40,1788654,1784061.636,0.002567497,7200
13,60,1561981,1464243.784,0.062572602,7200
13,80,1339582,1269614.169,0.052231092,7200
14,40,1885841,1779989.276,0.056129718,7200
14,60,1530664,1459186.678,0.046696938,7200
14,80,1359043,1271493.381,0.06442005,7200
15,40,1854669,1792583.307,0.03347535,7200
15,60,1523244,1467201.806,0.036791344,7200
15,80,1965774,1270469.184,0.353705368,7200
16,40,2005574,1780125.076,0.112411172,7200
16,60,1539968,1448977.816,0.059085763,7200
16,80,1342750,1267898.589,0.05574486,7200
17,40,1857726,1790229.344,0.036332945,7200
17,60,1532488,1461886.651,0.046069757,7200
17,80,1372242,1270158.609,0.074391683,7200
18,40,1908363,1790462.993,0.061780703,7200
18,60,1584822,1466303.096,0.074783732,7200
18,80,1330948,1269639.241,0.046063978,7200
19,40,2189834,1803973.319,0.176205448,7201
19,60,3073841,1472883.503,0.520832892,7200
19,80,1408051,1286836.071,0.08608703,7200
20,40,1842854,1784447.019,0.031693765,7202
20,60,1519260,1452276.343,0.04408966,7200
20,80,2088523,1257265.025,0.398012363,7200
21,40,1984551,1790980.807,0.097538533,7200
21,60,1740575,1451700.805,0.165964807,7200
21,80,1309989,1263003.265,0.035867274,7200
22,40,1848919,1781195.782,0.036628548,7200
22,60,1518888,1458507.664,0.039752988,7200
22,80,1371037,1267547.536,0.075482619,7200
23,40,1953242,1799742.113,0.078587234,7200
23,60,2635462,1460408.47,0.445862445,7200
23,80,1338627,1271703.027,0.049994489,7200
24,40,1899230,1794977.309,0.054892083,7203
24,60,3601160,1462096.338,0.593992953,7200
24,80,1334505,1274417.186,0.045026293,7200
25,40,1853937,1799191.252,0.029529454,7200
25,60,1564295,1467442.562,0.061914433,7200
25,80,0,0,1,7200
