instance_id,p,best_value,best_bound,optimality_gap,time
1,30,1397199.0,1386449.4357110772,0.007693653007855587,3600.0
1,40,1230554.0,1195414.0423781853,0.02855620933483186,3600.0
1,50,1116574.0,1073240.3961178488,0.03880943303547386,3600.0
2,30,1462199.0,1379590.356520047,0.05649617013823225,3600.0
2,40,1246730.0,1194829.7986030772,0.04162906274568095,3600.0
2,50,1141544.0,1072934.1758780587,0.060102654056209265,3600.0
3,30,1454508.0,1372961.3608637669,0.05606475807368068,3600.0
3,40,1200371.0,1185153.6560332666,0.012677200604424324,3600.0
3,50,1114119.0,1066611.6912094392,0.042641144070391775,3602.0
4,30,1427625.0,1375909.4483095407,0.03622488516974643,3600.0
4,40,1201683.0,1191731.0153306297,0.008281705465892705,3600.0
4,50,1120915.0,1072083.7542934022,0.04356373650686966,3600.0
5,30,1398113.0,1388499.5910382594,0.006875988537221637,3600.0
5,40,1260303.0,1205904.4796108203,0.04316304919466168,3600.0
5,50,1133159.0,1081534.4830696092,0.0455580522507352,3611.0
6,30,1488254.0,1396358.622135538,0.061747106249646966,3600.0
6,40,1280467.0,1209319.0367212903,0.05556407410632971,3600.0
6,50,1166752.0,1076044.1980338565,0.07774385813449948,3600.0
7,30,1397881.0,1387492.339375543,0.0074317203141448076,3600.0
7,40,1243239.0,1193500.6871928682,0.040007040325417555,3600.0
7,50,1122629.0,1072429.9701324773,0.04471560049448451,3600.0
8,30,1417355.0,1381918.0682381806,0.025002156666339346,3600.0
8,40,1250494.0,1195576.397176559,0.04391672636849191,3600.0
8,50,1100568.0,1071639.9215126806,0.026284680716974696,3600.0
9,30,1479495.0,1388431.0447305082,0.0615507016039201,3600.0
9,40,1265844.0,1203118.8652728053,0.04955202594252899,3600.0
9,50,1111371.0,1073816.3336184586,0.0337912959592624,3600.0
10,30,1380530.0,1375120.8968585401,0.003918135166537395,3600.0
10,40,1211763.0,1190006.6078678947,0.017954329462201195,3600.0
10,50,1132095.0,1071336.9983943475,0.05366864230091336,3610.0
11,30,1417198.0,1402101.0625265485,0.010652666369449778,3601.0
11,40,1297300.0,1208170.125743497,0.06870413493910665,3600.0
11,50,1115447.0,1080985.1248732358,0.030895125565593148,3600.0
12,30,1482386.0,1387980.9712760795,0.06368451180996074,3600.0
12,40,1315597.0,1200607.0762748595,0.0874051276531799,3600.0
12,50,1124503.0,1078374.8463959307,0.04102092533685482,3600.0
13,30,1386495.0,1377952.374691703,0.006161309855641102,3615.0
13,40,1213399.0,1196243.9867903988,0.014137981990755857,3600.0
13,50,1131723.0,1068372.2977687474,0.05597721547697852,3616.0
14,30,1435327.0,1392094.5884877385,0.030120252397022762,3600.0
14,40,1237960.0,1206174.3989816182,0.02567579002421869,3600.0
14,50,1151292.0,1079598.3353091935,0.062272355484800146,3600.0
15,30,1424104.0,1386580.3321580612,0.02634896597575654,3600.0
15,40,1273136.0,1197057.80953684,0.05975653069519669,3600.0
15,50,1103528.0,1063421.97298437,0.03634346116784524,3600.0
16,30,1398318.0,1384915.5389612718,0.009584701790814568,3600.0
16,40,1245319.0,1203892.5685366828,0.03326571863379363,3600.0
16,50,1153118.0,1076366.8381588652,0.06655967718926838,3601.0
17,30,1371714.0,1370455.5604949642,0.0009174212008011554,3600.0
17,40,1231608.0,1193281.0818405543,0.03111941312450532,3600.0
17,50,1097588.0,1075778.696833576,0.019870209191813253,3603.0
18,30,1388627.0,1368511.5395645758,0.014485862967826661,3600.0
18,40,1238006.0,1186201.0604495963,0.04184546726785148,3600.0
18,50,1117526.0,1059191.6354662408,0.052199559145611994,3602.0
19,30,1406880.0,1377638.034418944,0.020784974966632522,3600.0
19,40,1211942.0,1191585.6528333763,0.016796469770520114,3600.0
19,50,1542543.0,1068019.8019542135,0.3076239677245863,3600.0
20,30,1446190.0,1377428.138069739,0.04754690734292237,3600.0
20,40,1235439.0,1184673.2237039965,0.04109128519983867,3600.0
20,50,1111613.0,1060279.6756391732,0.04617913281045359,3600.0
21,30,1395506.0,1386719.1972242435,0.006296499460236256,3600.0
21,40,1217371.0,1200657.9277770445,0.013728824017456901,3600.0
21,50,1138489.0,1082501.0946656722,0.04917737925823423,3600.0
22,30,1413597.0,1395348.4575328848,0.012909296261321448,3600.0
22,40,1268571.0,1205023.4307126706,0.05009382154197869,3600.0
22,50,1092420.0,1073418.132717355,0.017394287254577066,3612.0
23,30,1397774.0,1393326.5081296666,0.00318183903144102,3600.0
23,40,1230280.0,1199552.4232794703,0.024976084078851726,3608.0
23,50,1114016.0,1078357.709114899,0.0320087780472642,3606.0
24,30,1445798.0,1381170.0911360125,0.04470051062734043,3600.0
24,40,1246899.0,1194288.6590115544,0.04219294504883359,3600.0
24,50,1371400.0,1073272.457754063,0.21738919516256164,3600.0
25,30,1456586.0,1387828.1694716376,0.04720478607398562,3600.0
25,40,1258241.0,1205239.3706752085,0.04212359104876688,3600.0
25,50,1104460.0,1075453.0993733774,0.026263423416531703,3600.0
