instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_10_first_instance_set_small_1000_200_15,10,relaxed,1000,200,15,183.606999874115,2.368000030517578,1.2209999561309814,0.24399995803833008,190.07099986076355,1.0430726794241305e6,1.042752e6,1.042752e6,1.03218e6,39,0.039,0,0,0,2,10572.0,1,1,0,success,
inst_10_first_instance_set_small_1000_200_15,10,pdisp,1000,200,15,0.01699995994567871,1.5530002117156982,0.03699994087219238,1.2579998970031738,2.9040000438690186,1.9767956286504958e6,1.975237e6,1.977232e6,1.764322e6,43,0.043,0,3,0,3,212910.0,2,2,1,success,
inst_10_first_instance_set_small_1000_200_15,10,multi_pdp,1000,200,15,19.723999977111816,1.3270001411437988,0.006999969482421875,1.000999927520752,22.211999893188477,1.2917332435550762e6,1.291241e6,1.291241e6,1.171704e6,39,0.039,0,0,0,4,119537.0,3,3,1,success,
inst_10_first_instance_set_small_1000_200_15,10,multi_p_median,1000,200,15,31.371000051498413,1.5399999618530273,0.016000032424926758,0.5049998760223389,33.76899981498718,1.0305295181650684e6,1.029592e6,1.029592e6,1.014888e6,37,0.037,0,0,0,2,14704.0,1,1,0,success,
inst_10_first_instance_set_small_1000_200_15,10,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.3490002155304,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_11_first_instance_set_small_1000_200_15,11,relaxed,1000,200,15,182.51900005340576,1.6389999389648438,0.006000041961669922,0.8350000381469727,185.0199999809265,1.173800907938011e6,1.17358e6,1.17358e6,1.146859e6,40,0.04,0,0,0,2,26721.0,1,1,0,success,
inst_11_first_instance_set_small_1000_200_15,11,pdisp,1000,200,15,0.0,1.5,0.006999969482421875,2.864000082015991,4.386999845504761,2.0850207225478303e6,2.08482e6,2.089431e6,1.543206e6,44,0.044,0,3,0,4,546225.0,3,3,2,success,
inst_11_first_instance_set_small_1000_200_15,11,multi_pdp,1000,200,15,7.351000070571899,1.309000015258789,0.008999824523925781,2.0260000228881836,10.723000049591064,1.2858983303897148e6,1.290264e6,1.290264e6,1.108974e6,41,0.041,0,0,0,6,181290.0,5,4,3,success,
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median,1000,200,15,64.41699981689453,1.562000036239624,0.016000032424926758,1.192000150680542,67.20499992370605,1.1328680072453844e6,1.132883e6,1.132883e6,1.08738e6,38,0.038,0,0,0,3,45503.0,2,2,1,success,
inst_11_first_instance_set_small_1000_200_15,11,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.1050000190735,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_12_first_instance_set_small_1000_200_15,12,relaxed,1000,200,15,182.5279998779297,1.684999942779541,0.00800013542175293,0.36500000953674316,184.61999988555908,1.2692943150835217e6,1.269398e6,1.269398e6,1.247879e6,38,0.038,0,0,0,3,21519.0,2,1,1,success,
inst_12_first_instance_set_small_1000_200_15,12,pdisp,1000,200,15,0.0009999275207519531,1.555999994277954,0.009999990463256836,2.5410001277923584,4.125999927520752,2.0445793053277715e6,2.041204e6,2.043728e6,1.474328e6,40,0.04,0,2,0,4,569400.0,3,3,1,success,
inst_12_first_instance_set_small_1000_200_15,12,multi_pdp,1000,200,15,16.127000093460083,1.3309998512268066,0.01100015640258789,1.3459999561309814,18.835000038146973,1.2615094147064402e6,1.260225e6,1.260225e6,1.088407e6,39,0.039,0,0,0,4,171818.0,3,3,2,success,
inst_12_first_instance_set_small_1000_200_15,12,multi_p_median,1000,200,15,10.10699987411499,1.4670000076293945,0.009000062942504883,0.2569999694824219,11.855999946594238,1.0531803905590172e6,1.053524e6,1.053524e6,1.032274e6,37,0.037,0,0,0,2,21250.0,1,1,0,success,
inst_12_first_instance_set_small_1000_200_15,12,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.06500005722046,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_13_first_instance_set_small_1000_200_15,13,relaxed,1000,200,15,182.25099992752075,1.690999984741211,0.01100015640258789,0.6619999408721924,184.64199995994568,1.1807553101408924e6,1.180075e6,1.180075e6,1.133429e6,38,0.038,0,0,0,3,46646.0,2,2,1,success,
inst_13_first_instance_set_small_1000_200_15,13,pdisp,1000,200,15,0.0,1.5149998664855957,0.0019998550415039062,1.312000036239624,2.8450000286102295,1.9771608131325936e6,1.9794e6,1.980274e6,1.849695e6,44,0.044,0,1,0,4,130579.0,3,2,1,success,
inst_13_first_instance_set_small_1000_200_15,13,multi_pdp,1000,200,15,17.61400008201599,1.312000036239624,0.013000011444091797,1.0939998626708984,20.04700016975403,1.2663609030151141e6,1.262267e6,1.264177e6,1.210571e6,38,0.038,0,1,0,4,53606.0,3,2,1,success,
inst_13_first_instance_set_small_1000_200_15,13,multi_p_median,1000,200,15,84.3050000667572,1.809000015258789,0.01399993896484375,0.317000150680542,86.46200013160706,1.0631074098201133e6,1.063707e6,1.063707e6,1.039214e6,35,0.035,0,0,0,2,24493.0,1,1,0,success,
inst_13_first_instance_set_small_1000_200_15,13,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.07500004768372,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_14_first_instance_set_small_1000_200_15,14,relaxed,1000,200,15,70.40199995040894,1.8500001430511475,0.0029997825622558594,0.2240002155303955,72.50699996948242,987618.6741619683,987528.0,987528.0,973462.0,34,0.034,0,0,0,2,14066.0,1,1,0,success,
inst_14_first_instance_set_small_1000_200_15,14,pdisp,1000,200,15,0.0,1.2920000553131104,0.01399993896484375,1.6329998970031738,2.9600000381469727,1.9102727310967625e6,1.909989e6,1.911627e6,1.762335e6,45,0.045,0,2,0,3,149292.0,2,2,1,success,
inst_14_first_instance_set_small_1000_200_15,14,multi_pdp,1000,200,15,8.92300009727478,1.2939999103546143,0.004000186920166016,1.0279998779296875,11.275000095367432,1.2558150163605174e6,1.255384e6,1.255384e6,1.179074e6,36,0.036,0,0,0,3,76310.0,2,2,1,success,
inst_14_first_instance_set_small_1000_200_15,14,multi_p_median,1000,200,15,13.388999938964844,1.6000001430511475,0.004999876022338867,0.20000004768371582,15.20900011062622,991685.7651526871,991379.0,991379.0,974681.0,35,0.035,0,0,0,2,16698.0,1,1,0,success,
inst_14_first_instance_set_small_1000_200_15,14,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.07599997520447,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_15_first_instance_set_small_1000_200_15,15,relaxed,1000,200,15,182.2519998550415,1.874000072479248,0.0009999275207519531,0.23000001907348633,184.385999917984,1.0174477580661935e6,1.017832e6,1.017832e6,1.00422e6,36,0.036,0,0,0,2,13612.0,1,1,0,success,
inst_15_first_instance_set_small_1000_200_15,15,pdisp,1000,200,15,0.0,1.5390000343322754,0.0019998550415039062,2.941999912261963,4.505000114440918,1.6958731411669634e6,1.69873e6,1.69873e6,1.321727e6,41,0.041,0,0,0,4,377003.0,3,3,3,success,
inst_15_first_instance_set_small_1000_200_15,15,multi_pdp,1000,200,15,15.61299991607666,1.321000099182129,0.007999897003173828,0.9769999980926514,17.93499994277954,1.2594833737541554e6,1.256644e6,1.256644e6,1.166207e6,35,0.035,0,0,0,3,90437.0,2,2,1,success,
inst_15_first_instance_set_small_1000_200_15,15,multi_p_median,1000,200,15,18.19599986076355,1.5510001182556152,0.009999990463256836,0.3209998607635498,20.10699987411499,1.053533403602481e6,1.051147e6,1.051147e6,1.029979e6,38,0.038,0,0,0,2,21168.0,1,1,1,success,
inst_15_first_instance_set_small_1000_200_15,15,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.13100004196167,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_16_first_instance_set_small_1000_200_15,16,relaxed,1000,200,15,182.20000004768372,1.8299999237060547,0.012000083923339844,0.25800013542175293,184.3159999847412,1.0631774848733759e6,1.05967e6,1.05967e6,1.037924e6,38,0.038,0,0,0,2,21746.0,1,1,0,success,
inst_16_first_instance_set_small_1000_200_15,16,pdisp,1000,200,15,0.0,1.5529999732971191,0.014999866485595703,3.5510001182556152,5.134999990463257,2.058163389464742e6,2.056531e6,2.062496e6,1.357688e6,42,0.042,0,4,0,6,704808.0,5,5,3,success,
inst_16_first_instance_set_small_1000_200_15,16,multi_pdp,1000,200,15,23.30999994277954,1.3370001316070557,0.0019998550415039062,1.011000156402588,25.674000024795532,1.2197613190412465e6,1.221387e6,1.221387e6,1.166145e6,39,0.039,0,0,0,3,55242.0,2,2,1,success,
inst_16_first_instance_set_small_1000_200_15,16,multi_p_median,1000,200,15,6.373999834060669,1.5800001621246338,0.01399993896484375,0.5720000267028809,8.562999963760376,1.0423722074634441e6,1.04296e6,1.04296e6,1.012372e6,37,0.037,0,0,0,3,30588.0,2,1,0,success,
inst_16_first_instance_set_small_1000_200_15,16,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.07100009918213,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_17_first_instance_set_small_1000_200_15,17,relaxed,1000,200,15,182.24499988555908,1.6650002002716064,0.010999917984008789,0.2720000743865967,184.20000004768372,1.0443950888178963e6,1.045169e6,1.045169e6,1.021203e6,37,0.037,0,0,0,2,23966.0,1,1,0,success,
inst_17_first_instance_set_small_1000_200_15,17,pdisp,1000,200,15,0.0,1.5529999732971191,0.00800013542175293,3.7179999351501465,5.299999952316284,2.189785309107641e6,2.193246e6,2.194141e6,1.562919e6,42,0.042,0,1,0,5,631222.0,4,4,3,success,
inst_17_first_instance_set_small_1000_200_15,17,multi_pdp,1000,200,15,32.367000102996826,1.5749998092651367,0.002000093460083008,1.318000078201294,35.28800010681152,1.3265003912424536e6,1.324268e6,1.325616e6,1.16532e6,38,0.038,0,1,0,4,160296.0,3,3,2,success,
inst_17_first_instance_set_small_1000_200_15,17,multi_p_median,1000,200,15,16.264999866485596,1.6000001430511475,0.009999990463256836,0.3000001907348633,18.207000017166138,1.0290717003303273e6,1.029147e6,1.029147e6,1.010298e6,39,0.039,0,0,0,2,18849.0,1,1,0,success,
inst_17_first_instance_set_small_1000_200_15,17,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.06699991226196,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_18_first_instance_set_small_1000_200_15,18,relaxed,1000,200,15,182.21799993515015,1.6470000743865967,0.006999969482421875,0.20399999618530273,184.09099984169006,1.0095081073902088e6,1.00883e6,1.00883e6,995917.0,38,0.038,0,0,0,2,12913.0,1,1,0,success,
inst_18_first_instance_set_small_1000_200_15,18,pdisp,1000,200,15,0.0,1.5479998588562012,0.003999948501586914,0.9960000514984131,2.567999839782715,2.1199794345618202e6,2.116529e6,2.121668e6,2.099209e6,45,0.045,0,3,0,3,22459.0,2,2,0,success,
inst_18_first_instance_set_small_1000_200_15,18,multi_pdp,1000,200,15,28.89800000190735,1.557999849319458,0.017000198364257812,0.9259998798370361,31.421000003814697,1.3230797441814889e6,1.32133e6,1.32254e6,1.242211e6,41,0.041,0,1,0,4,80329.0,3,3,2,success,
inst_18_first_instance_set_small_1000_200_15,18,multi_p_median,1000,200,15,89.30800008773804,1.5769999027252197,0.012000083923339844,0.7660000324249268,91.67799997329712,1.0395285787496603e6,1.038792e6,1.038792e6,1.020083e6,40,0.04,0,0,0,3,18709.0,2,1,0,success,
inst_18_first_instance_set_small_1000_200_15,18,multi_p_median_benders,1000,200,15,0.0,0.0,0.0,0.0,180.1139998435974,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_19_first_instance_set_small_1000_200_15,19,relaxed,1000,200,15,182.50699996948242,1.7019999027252197,0.009000062942504883,0.43199992179870605,184.66999983787537,1.3762432661102635e6,1.377525e6,1.379039e6,1.354596e6,37,0.037,0,1,0,2,24443.0,1,1,0,success,
inst_19_first_instance_set_small_1000_200_15,19,pdisp,1000,200,15,0.0010001659393310547,1.562999963760376,0.009999990463256836,1.6530001163482666,3.25,2.0944481488995117e6,2.099461e6,2.097664e6,1.850466e6,45,0.045,0,2,0,4,247198.0,3,3,1,success,
