Alloc,B,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,3.45526045988341,1,pdisp,32,78,1800000,3073,480861,464246,0.1,0.1,10
queue,625,3.13638431140173,1,pdisp,32,78,1800000,9525,479278,464246,0.1,0.1,30
queue,625,2.23024370519506,1,pdisp,32,78,1800000,16925,474836,464246,0.1,0.1,50
queue,625,2.76919081488184,1,pdisp,32,78,1800000,22376,477468,464246,0.1,0.1,70
queue,625,2.99571861098283,1,pdisp,32,78,1800000,29955,478583,464246,0.1,0.1,90
queue,625,7.28060714999002,1,pdisp,32,78,1800000,3818,500700,464246,0.3,0.1,10
queue,625,3.65801777646807,1,pdisp,32,78,1800000,10082,481873,464246,0.3,0.1,30
queue,625,3.17577840670903,1,pdisp,32,78,1800000,18588,479473,464246,0.3,0.1,50
queue,625,1.88786907280332,1,pdisp,32,78,1800000,23626,473179,464246,0.3,0.1,70
queue,625,4.65211328063225,1,pdisp,32,78,1800000,34165,486897,464246,0.3,0.1,90
queue,625,0,1,pdisp,32,78,1800000,0,0,464246,0.5,0.1,10
queue,625,2.63582864597096,1,pdisp,32,78,1800000,10900,476814,464246,0.5,0.1,30
queue,625,0.737446412726239,1,pdisp,32,78,1800000,20678,467695,464246,0.5,0.1,50
queue,625,4.12221244676853,1,pdisp,32,78,1800000,27544,484206,464246,0.5,0.1,70
queue,625,4.54723025236347,1,pdisp,32,78,1800000,35648,486362,464246,0.5,0.1,90
queue,625,5.50988465695264,1,pdisp,32,78,1800000,4172,491317,464246,0.7,0.1,10
queue,625,6.24361320133613,1,pdisp,32,78,1800000,12199,495162,464246,0.7,0.1,30
queue,625,2.08734495711209,1,pdisp,32,78,1800000,24102,474143,464246,0.7,0.1,50
queue,625,1.39105130683206,1,pdisp,32,78,1800000,30039,470795,464246,0.7,0.1,70
queue,625,1.15064409666773,1,pdisp,32,78,1800000,32306,469650,464246,0.7,0.1,90
queue,625,1.88786907280332,1,pdisp,32,78,1800000,3712,473179,464246,0.9,0.1,10
queue,625,3.94804356461864,1,pdisp,32,78,1800000,10529,483328,464246,0.9,0.1,30
queue,625,3.87684535271342,1,pdisp,32,78,1800000,17747,482970,464246,0.9,0.1,50
queue,625,0.322277974952068,1,pdisp,32,78,1800000,23692,465747,464246,0.9,0.1,70
queue,625,2.17152634806375,1,pdisp,32,78,1800000,29625,474551,464246,0.9,0.1,90
queue,625,4.22526494294727,1,pdisp,32,78,1800000,3817,484727,464246,0.1,0.3,10
queue,625,4.13072613469516,1,pdisp,32,78,1800000,9945,484249,464246,0.1,0.3,30
queue,625,1.62403848191393,1,pdisp,32,78,1800000,16341,471910,464246,0.1,0.3,50
queue,625,4.71395467690723,1,pdisp,32,78,1800000,23332,487213,464246,0.1,0.3,70
queue,625,4.13785271069721,1,pdisp,32,78,1800000,30686,484285,464246,0.1,0.3,90
queue,625,0,1,pdisp,32,78,1800000,0,0,464246,0.3,0.3,10
queue,625,2.64889552464153,1,pdisp,32,78,1800000,9940,476878,464246,0.3,0.3,30
queue,625,4.93560957430035,1,pdisp,32,78,1800000,18599,488349,464246,0.3,0.3,50
queue,625,4.78450450598268,1,pdisp,32,78,1800000,23988,487574,464246,0.3,0.3,70
queue,625,2.13192961449029,1,pdisp,32,78,1800000,31953,474359,464246,0.3,0.3,90
queue,625,5.7102410629599,1,pdisp,32,78,1800000,4121,492361,464246,0.5,0.3,10
queue,625,1.62549770404542,1,pdisp,32,78,1800000,10909,471917,464246,0.5,0.3,30
queue,625,2.16266111424886,1,pdisp,32,78,1800000,17655,474508,464246,0.5,0.3,50
queue,625,3.79517572944297,1,pdisp,32,78,1800000,24485,482560,464246,0.5,0.3,70
queue,625,2.21459263627938,1,pdisp,32,78,1800000,31654,474760,464246,0.5,0.3,90
queue,625,0,1,pdisp,32,78,1800000,0,0,464246,0.7,0.3,10
queue,625,4.90523215203823,1,pdisp,32,78,1800000,10460,488193,464246,0.7,0.3,30
queue,625,3.51505427519802,1,pdisp,32,78,1800000,16949,481159,464246,0.7,0.3,50
queue,625,1.79488969413895,1,pdisp,32,78,1800000,23561,472731,464246,0.7,0.3,70
queue,625,1.18788405093789,1,pdisp,32,78,1800000,30525,469827,464246,0.7,0.3,90
queue,625,3.79477700089937,1,pdisp,32,78,1800000,4400,482558,464246,0.9,0.3,10
queue,625,3.68100450633626,1,pdisp,32,78,1800000,9569,481988,464246,0.9,0.3,30
queue,625,3.51485374866468,1,pdisp,32,78,1800000,16618,481158,464246,0.9,0.3,50
queue,625,3.28550863823573,1,pdisp,32,78,1800000,23954,480017,464246,0.9,0.3,70
queue,625,2.50824250824251,1,pdisp,32,78,1800000,28792,476190,464246,0.9,0.3,90
queue,625,6.65964304168535,1,pdisp,32,78,1800000,3891,497369,464246,0.1,0.5,10
queue,625,2.21191497787242,1,pdisp,32,78,1800000,10842,474747,464246,0.1,0.5,30
queue,625,4.22783347774064,1,pdisp,32,78,1800000,17835,484740,464246,0.1,0.5,50
queue,625,3.26253430380723,1,pdisp,32,78,1800000,22997,479903,464246,0.1,0.5,70
queue,625,0.0914625616834308,1,pdisp,32,78,1800000,30813,464671,464246,0.1,0.5,90
queue,625,6.04932225410715,1,pdisp,32,78,1800000,3533,494138,464246,0.3,0.5,10
queue,625,2.99774547475621,1,pdisp,32,78,1800000,9720,478593,464246,0.3,0.5,30
queue,625,2.44411896351369,1,pdisp,32,78,1800000,18753,475877,464246,0.3,0.5,50
queue,625,5.09651925581129,1,pdisp,32,78,1800000,25183,489177,464246,0.3,0.5,70
queue,625,2.42648557875201,1,pdisp,32,78,1800000,28886,475791,464246,0.3,0.5,90
queue,625,6.13176645665343,1,pdisp,32,78,1800000,3722,494572,464246,0.5,0.5,10
queue,625,4.6848052822627,1,pdisp,32,78,1800000,10292,487064,464246,0.5,0.5,30
queue,625,3.06620369113714,1,pdisp,32,78,1800000,16101,478931,464246,0.5,0.5,50
queue,625,1.14075080440287,1,pdisp,32,78,1800000,22738,469603,464246,0.5,0.5,70
queue,625,3.16224661351756,1,pdisp,32,78,1800000,31412,479406,464246,0.5,0.5,90
queue,625,7.0870617243429,1,pdisp,32,78,1800000,3779,499657,464246,0.7,0.5,10
queue,625,0.345172521863069,1,pdisp,32,78,1800000,9990,465854,464246,0.7,0.5,30
queue,625,3.63882045012527,1,pdisp,32,78,1800000,16788,481777,464246,0.7,0.5,50
queue,625,3.9635420329909,1,pdisp,32,78,1800000,24147,483406,464246,0.7,0.5,70
queue,625,0.508338726752933,1,pdisp,32,78,1800000,29743,466618,464246,0.7,0.5,90
queue,625,6.50964313260339,1,pdisp,32,78,1800000,3870,496571,464246,0.9,0.5,10
queue,625,1.44589720564603,1,pdisp,32,78,1800000,9928,471057,464246,0.9,0.5,30
queue,625,3.7742380118353,1,pdisp,32,78,1800000,16881,482455,464246,0.9,0.5,50
queue,625,2.41356405340867,1,pdisp,32,78,1800000,23352,475728,464246,0.9,0.5,70
queue,625,4.14636362134752,1,pdisp,32,78,1800000,29480,484328,464246,0.9,0.5,90
queue,625,10.1506888022698,1,pdisp,32,78,1800000,3302,516694,464246,0.1,0.7,10
queue,625,4.16357874962584,1,pdisp,32,78,1800000,10048,484415,464246,0.1,0.7,30
queue,625,2.85647325678964,1,pdisp,32,78,1800000,16328,477897,464246,0.1,0.7,50
queue,625,2.88492313356498,1,pdisp,32,78,1800000,22439,478037,464246,0.1,0.7,70
queue,625,2.58189067254223,1,pdisp,32,78,1800000,29785,476550,464246,0.1,0.7,90
queue,625,6.7346500083372,1,pdisp,32,78,1800000,3714,497769,464246,0.3,0.7,10
queue,625,2.98862392069343,1,pdisp,32,78,1800000,10661,478548,464246,0.3,0.7,30
queue,625,2.67440665991618,1,pdisp,32,78,1800000,17230,477003,464246,0.3,0.7,50
queue,625,2.59701567692773,1,pdisp,32,78,1800000,24265,476624,464246,0.3,0.7,70
queue,625,3.2691858914522,1,pdisp,32,78,1800000,32316,479936,464246,0.3,0.7,90
queue,625,3.83084855377337,1,pdisp,32,78,1800000,3038,482739,464246,0.5,0.7,10
queue,625,3.91444638307472,1,pdisp,32,78,1800000,10313,483159,464246,0.5,0.7,30
queue,625,5.65007001363691,1,pdisp,32,78,1800000,16107,492047,464246,0.5,0.7,50
queue,625,1.71193143805628,1,pdisp,32,78,1800000,21872,472332,464246,0.5,0.7,70
queue,625,2.51479352066893,1,pdisp,32,78,1800000,29579,476222,464246,0.5,0.7,90
queue,625,5.5708108064129,1,pdisp,32,78,1800000,3883,491634,464246,0.7,0.7,10
queue,625,2.79097523949118,1,pdisp,32,78,1800000,10568,477575,464246,0.7,0.7,30
queue,625,3.76406497458561,1,pdisp,32,78,1800000,25854,482404,464246,0.7,0.7,50
queue,625,1.73273613980425,1,pdisp,32,78,1800000,22571,472432,464246,0.7,0.7,70
queue,625,2.44227390789042,1,pdisp,32,78,1800000,27403,475868,464246,0.7,0.7,90
queue,625,2.30369555107083,1,pdisp,32,78,1800000,3380,475193,464246,0.9,0.7,10
queue,625,2.3456185041134,1,pdisp,32,78,1800000,9175,475397,464246,0.9,0.7,30
queue,625,4.0968604233202,1,pdisp,32,78,1800000,15188,484078,464246,0.9,0.7,50
queue,625,3.28168034033475,1,pdisp,32,78,1800000,22793,479998,464246,0.9,0.7,70
queue,625,2.42710080412952,1,pdisp,32,78,1800000,29941,475794,464246,0.9,0.7,90
queue,625,2.24794808410644,1,pdisp,32,78,1800000,3951,474922,464246,0.1,0.9,10
queue,625,4.68597942800829,1,pdisp,32,78,1800000,9913,487070,464246,0.1,0.9,30
queue,625,1.81628224704653,1,pdisp,32,78,1800000,16695,472834,464246,0.1,0.9,50
queue,625,3.64122053430028,1,pdisp,32,78,1800000,23195,481789,464246,0.1,0.9,70
queue,625,0.974373632186754,1,pdisp,32,78,1800000,30083,468814,464246,0.1,0.9,90
queue,625,4.10518053375196,1,pdisp,32,78,1800000,3018,484120,464246,0.3,0.9,10
queue,625,5.4912259272831,1,pdisp,32,78,1800000,10442,491220,464246,0.3,0.9,30
queue,625,1.86505562613488,1,pdisp,32,78,1800000,16646,473069,464246,0.3,0.9,50
queue,625,3.72634613191212,1,pdisp,32,78,1800000,23670,482215,464246,0.3,0.9,70
queue,625,1.70839376263723,1,pdisp,32,78,1800000,31038,472315,464246,0.3,0.9,90
queue,625,9.97960101762224,1,pdisp,32,78,1800000,3378,515712,464246,0.5,0.9,10
queue,625,4.84344382589018,1,pdisp,32,78,1800000,11893,487876,464246,0.5,0.9,30
queue,625,5.17638263931584,1,pdisp,32,78,1800000,16579,489589,464246,0.5,0.9,50
queue,625,3.48717309051598,1,pdisp,32,78,1800000,24815,481020,464246,0.5,0.9,70
queue,625,3.1313314679303,1,pdisp,32,78,1800000,32232,479253,464246,0.5,0.9,90
queue,625,2.66093844679696,1,pdisp,32,78,1800000,3835,476937,464246,0.7,0.9,10
queue,625,7.3969389363073,1,pdisp,32,78,1800000,11191,501329,464246,0.7,0.9,30
queue,625,3.11293466510283,1,pdisp,32,78,1800000,17587,479162,464246,0.7,0.9,50
queue,625,1.65071456111584,1,pdisp,32,78,1800000,24219,472038,464246,0.7,0.9,70
queue,625,3.98519177274749,1,pdisp,32,78,1800000,31514,483515,464246,0.7,0.9,90
queue,625,0,1,pdisp,32,78,1800000,0,0,464246,0.9,0.9,10
queue,625,5.73704418874277,1,pdisp,32,78,1800000,9834,492501,464246,0.9,0.9,30
queue,625,2.26564605227701,1,pdisp,32,78,1800000,16340,475008,464246,0.9,0.9,50
queue,625,3.21635110512557,1,pdisp,32,78,1800000,23636,479674,464246,0.9,0.9,70
queue,625,1.96452743010755,1,pdisp,32,78,1800000,31378,473549,464246,0.9,0.9,90
queue,625,2.27715420515574,2,pdisp,32,78,1800000,3881,486177,475106,0.1,0.1,10
queue,625,2.0618089167773,2,pdisp,32,78,1800000,7490,485108,475106,0.1,0.1,30
queue,625,1.06616468079612,2,pdisp,32,78,1800000,15049,480226,475106,0.1,0.1,50
queue,625,1.5026308478835,2,pdisp,32,78,1800000,19372,482354,475106,0.1,0.1,70
queue,625,0.12864764419257,2,pdisp,32,78,1800000,25687,475718,475106,0.1,0.1,90
queue,625,4.98963118204525,2,pdisp,32,78,1800000,3160,500057,475106,0.3,0.1,10
queue,625,1.6701988509363,2,pdisp,32,78,1800000,8167,483176,475106,0.3,0.1,30
queue,625,2.58871675428309,2,pdisp,32,78,1800000,13205,487732,475106,0.3,0.1,50
queue,625,1.07172677734444,2,pdisp,32,78,1800000,18921,480253,475106,0.3,0.1,70
queue,625,0.949216005537268,2,pdisp,32,78,1800000,25194,479659,475106,0.3,0.1,90
queue,625,4.47788201327762,2,pdisp,32,78,1800000,3800,497378,475106,0.5,0.1,10
queue,625,1.67101287304938,2,pdisp,32,78,1800000,8501,483180,475106,0.5,0.1,30
queue,625,2.04222172280629,2,pdisp,32,78,1800000,11744,485011,475106,0.5,0.1,50
queue,625,2.10257361274238,2,pdisp,32,78,1800000,20073,485310,475106,0.5,0.1,70
queue,625,0.474265244988159,2,pdisp,32,78,1800000,22540,477370,475106,0.5,0.1,90
queue,625,3.54920633631689,2,pdisp,32,78,1800000,3097,492589,475106,0.7,0.1,10
