alpha_l	alpha_a	Average Runtime	Std Dev Runtime
0.1	0.1	38786.68	21510.387465499505
0.1	0.3	38207.2	21412.443992087537
0.1	0.5	38653.26	21749.09966873131
0.1	0.7	38693.18	21664.83114822787
0.1	0.9	38640.56	21696.44498873923
0.3	0.1	38715.28	21706.335211826135
0.3	0.3	39265.1	22070.298524237944
0.3	0.5	39034.1	21858.71573822419
0.3	0.7	38879.2	21845.03993204528
0.3	0.9	39134.62	21774.707268952472
0.5	0.1	39241.78	21802.05560640781
0.5	0.3	39325.54	22266.882206367485
0.5	0.5	39294.76	22503.206080476804
0.5	0.7	39270.58	22411.019736645776
0.5	0.9	39495.94	22195.759616546362
0.7	0.1	40128.8	22643.968545955104
0.7	0.3	40269.84	22588.69239004872
0.7	0.5	40008.2	22563.53314170311
0.7	0.7	40106.12	22450.316422150798
0.7	0.9	39947.48	22313.25958884501
0.9	0.1	41290.52	22930.077083843837
0.9	0.3	41134.3	23109.51180371672
0.9	0.5	41580.9	23412.85873734991
0.9	0.7	40971.4	23077.805912935095
0.9	0.9	41234.66	22955.977469406924
