alpha_l	alpha_a	Average Runtime	Std Dev Runtime
0.1	0.1	25806.82	20708.657562673652
0.1	0.3	25418.02	20559.279481233647
0.1	0.5	26175.27	20682.55695163625
0.1	0.7	26198.12	20575.76894657962
0.1	0.9	26016.0	20662.3933314081
0.3	0.1	25595.88	20848.24450681058
0.3	0.3	25849.27	21252.018383932624
0.3	0.5	25884.47	20996.485192370517
0.3	0.7	25869.48	20940.405949332224
0.3	0.9	25872.25	20991.3764436131
0.5	0.1	25915.78	21114.787518971472
0.5	0.3	26011.9	21329.814347788193
0.5	0.5	26146.55	21391.31608022142
0.5	0.7	25938.93	21356.251481439453
0.5	0.9	26255.81	21269.804843835507
0.7	0.1	26920.15	21528.94309658652
0.7	0.3	27059.12	21535.662117379616
0.7	0.5	26510.75	21587.928826491825
0.7	0.7	26606.48	21477.42587207567
0.7	0.9	26583.38	21376.44258173237
0.9	0.1	27293.32	22083.588791606486
0.9	0.3	26871.13	22337.055955987325
0.9	0.5	27237.9	22542.84210188021
0.9	0.7	27013.27	22180.004851423997
0.9	0.9	27200.79	22237.345064577992
