alpha_l	alpha_a	Average ValueGRASP	Std Dev ValueGRASP
0.1	0.1	485987.84	12671.425848542145
0.1	0.3	487373.86	14293.880570212901
0.1	0.5	477913.92	70437.06799917213
0.1	0.7	486113.36	13882.32239548716
0.1	0.9	486723.14	13508.25432007846
0.3	0.1	486706.26	13229.542835067972
0.3	0.3	476818.8	70405.42393617592
0.3	0.5	485439.36	13879.775321300975
0.3	0.7	476958.94	70419.77087391797
0.3	0.9	485678.7	14010.904977763515
0.5	0.1	486375.0	14590.745478989511
0.5	0.3	487925.76	13874.178026117714
0.5	0.5	487857.98	15020.16449744156
0.5	0.7	487325.26	16275.57060764661
0.5	0.9	487031.7	15528.882011942034
0.7	0.1	487651.08	13778.35627594737
0.7	0.3	486460.8	13809.971984188895
0.7	0.5	486696.62	14668.847497109968
0.7	0.7	485848.24	13317.395440887816
0.7	0.9	487075.12	13768.266517004424
0.9	0.1	486649.42	14601.004047234139
0.9	0.3	487077.32	15218.485592602368
0.9	0.5	488224.18	14994.322967465147
0.9	0.7	487628.52	14608.084038473424
0.9	0.9	476734.52	70267.4439828812
