alpha_l	alpha_a	Average ValueGRASP	Std Dev ValueGRASP
0.1	0.1	759712.11	275649.9803448919
0.1	0.3	759342.39	273871.2116917972
0.1	0.5	754064.33	282309.96377855254
0.1	0.7	759662.22	275427.79145839304
0.1	0.9	759029.18	274157.42169850395
0.3	0.1	759348.56	274565.66483868577
0.3	0.3	754392.05	283631.54803892504
0.3	0.5	758016.9	274396.2109431349
0.3	0.7	755156.71	284251.47774630046
0.3	0.9	759628.98	275757.98723749106
0.5	0.1	759028.69	274458.66363361414
0.5	0.3	759662.87	273641.84610459046
0.5	0.5	761374.46	275380.4373945698
0.5	0.7	760433.48	275079.2064175382
0.5	0.9	759341.63	274221.85799121606
0.7	0.1	761418.81	275604.2146956647
0.7	0.3	758339.13	273692.7789322357
0.7	0.5	759296.6	274475.2673241187
0.7	0.7	758831.21	274845.4716961968
0.7	0.9	759834.75	274611.81074869
0.9	0.1	757840.8	273085.7829471143
0.9	0.3	758175.27	272959.08207848354
0.9	0.5	758764.73	272376.3527502198
0.9	0.7	758930.48	273176.0307667649
0.9	0.9	753689.97	283058.22480765625
