Add,Alloc,B,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Value,ValueOptim
34,opp,1250,96,false,10,relax,62,0,155,3720,9000,1800000,12720,1336167,472705
33,opp,1250,90,false,10,pdisp,62,0,155,2968,32,1800000,3000,2498216,472705
34,opp,1250,95,false,11,relax,62,0,155,3120,8000,1800000,11120,1277268,468053
27,opp,1250,73,false,11,pdisp,62,0,155,3259,0,1800000,3259,2318105,468053
31,opp,1250,83,false,12,relax,62,0,155,3456,7000,1800000,10456,1218741,462072
33,opp,1250,89,false,12,pdisp,62,0,155,3307,0,1800000,3307,2340413,462072
36,opp,1250,102,false,13,relax,62,1,155,2752,7000,1800000,9752,1558321,468505
31,opp,1250,86,false,13,pdisp,62,0,155,3421,0,1800000,3421,2676121,468505
30,opp,1250,86,false,14,relax,62,1,155,3000,9000,977000,12000,1444117,459301
26,opp,1250,73,false,14,pdisp,62,0,155,3280,0,977000,3280,2561907,459301
34,opp,1250,97,false,15,relax,62,0,155,3455,10000,1800000,13455,1205092,484674
30,opp,1250,81,false,15,pdisp,62,1,155,3224,0,1800000,3224,2297217,484674
36,opp,1250,100,false,16,relax,62,1,155,3522,8000,1384000,11522,1228677,462365
32,opp,1250,84,false,16,pdisp,62,1,155,3224,0,1384000,3224,2359466,462365
37,opp,1250,106,false,17,relax,62,2,155,3377,7000,1800000,10377,1329962,462745
32,opp,1250,90,false,17,pdisp,62,0,155,3166,0,1800000,3166,2461972,462745
31,opp,1250,86,false,18,relax,62,1,155,3047,8000,1800000,11047,1260007,455692
30,opp,1250,80,false,18,pdisp,62,0,155,3048,0,1800000,3048,2342167,455692
35,opp,1250,96,false,19,relax,62,0,155,3557,11000,1800000,14557,1093428,460741
33,opp,1250,79,false,19,pdisp,62,0,155,3584,0,1800000,3584,2161929,460741
37,opp,1250,98,false,1,relax,62,1,155,3358,8000,1800000,11358,1235295,464246
33,opp,1250,87,false,1,pdisp,62,0,155,3162,0,1800000,3162,2320598,464246
30,opp,1250,85,false,20,relax,62,0,155,3365,7000,1800000,10365,1363100,465070
33,opp,1250,91,false,20,pdisp,62,0,155,3629,0,1800000,3629,2465609,465070
31,opp,1250,84,false,21,relax,62,0,155,3659,8000,11000,11659,1300401,709114
34,opp,1250,92,false,21,pdisp,62,0,155,3352,0,11000,3352,2365977,709114
33,opp,1250,96,false,2,relax,62,1,155,3033,8000,1800000,11033,1325401,475106
27,opp,1250,78,false,2,pdisp,62,0,155,3768,0,1800000,3768,2378953,475106
35,opp,1250,100,false,3,relax,62,0,155,3524,7000,1484000,10524,1330238,451879
30,opp,1250,79,false,3,pdisp,62,0,155,3224,0,1484000,3224,2380493,451879
34,opp,1250,100,false,4,relax,62,0,155,3410,8000,1800000,11410,1244939,460877
27,opp,1250,78,false,4,pdisp,62,0,155,3542,0,1800000,3542,2320237,460877
33,opp,1250,89,false,5,relax,62,0,155,3143,9000,1800000,12143,1172943,469136
30,opp,1250,84,false,5,pdisp,62,0,155,2821,0,1800000,2821,2250815,469136
34,opp,1250,92,false,6,relax,62,1,155,3515,7000,1800000,10515,1278441,491677
28,opp,1250,80,false,6,pdisp,62,0,155,3237,0,1800000,3237,2314975,491677
35,opp,1250,90,false,7,relax,62,0,155,2853,7000,1800000,9853,1274880,454550
26,opp,1250,69,false,7,pdisp,62,0,155,3701,0,1800000,3701,2335379,454550
33,opp,1250,90,false,8,relax,62,1,155,3255,7000,1800000,10255,1176476,462146
31,opp,1250,76,false,8,pdisp,62,0,155,3391,0,1800000,3391,2250825,462146
35,opp,1250,97,false,9,relax,62,0,155,2826,9000,1800000,11826,1260578,488765
30,opp,1250,80,false,9,pdisp,62,0,155,2809,0,1800000,2809,2320695,488765
