Add,Alloc,B,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Value,ValueOptim
18,opp,625,51,false,10,relax,32,0,78,1046,1000,1800000,2046,613611,472705
17,opp,625,44,false,10,pdisp,32,0,78,458,32,1800000,490,1109899,472705
17,opp,625,53,false,11,relax,32,2,78,490,1000,1800000,1490,597886,468053
15,opp,625,40,false,11,pdisp,32,0,78,492,0,1800000,492,1108820,468053
21,opp,625,55,false,12,relax,32,0,78,457,1000,1800000,1457,603001,462072
17,opp,625,43,false,12,pdisp,32,0,78,412,0,1800000,412,1103279,462072
18,opp,625,50,false,13,relax,32,0,78,476,1000,1800000,1476,559199,468505
16,opp,625,46,false,13,pdisp,32,0,78,427,0,1800000,427,1075656,468505
18,opp,625,54,false,14,relax,32,0,78,414,1000,977000,1414,581438,459301
17,opp,625,49,false,14,pdisp,32,0,78,374,0,977000,374,1079424,459301
17,opp,625,48,false,15,relax,32,0,78,396,1000,1800000,1396,595672,484674
16,opp,625,45,false,15,pdisp,32,0,78,364,0,1800000,364,1132966,484674
19,opp,625,53,false,16,relax,32,0,78,366,1000,1384000,1366,552993,462365
17,opp,625,46,false,16,pdisp,32,0,78,357,0,1384000,357,1093914,462365
19,opp,625,54,false,17,relax,32,0,78,380,1000,1800000,1380,565915,462745
15,opp,625,44,false,17,pdisp,32,1,78,353,0,1800000,353,1118349,462745
18,opp,625,53,false,18,relax,32,0,78,365,1000,1800000,1365,761565,455692
15,opp,625,43,false,18,pdisp,32,0,78,332,0,1800000,332,1270921,455692
17,opp,625,49,false,19,relax,32,0,78,396,1000,1800000,1396,605008,460741
16,opp,625,42,false,19,pdisp,32,0,78,412,0,1800000,412,1121525,460741
16,opp,625,45,false,1,relax,32,0,78,396,1000,1800000,1396,626646,464246
15,opp,625,42,false,1,pdisp,32,0,78,396,0,1800000,396,1138209,464246
17,opp,625,47,false,20,relax,32,0,78,398,1000,1800000,1398,634481,465070
17,opp,625,50,false,20,pdisp,32,0,78,364,0,1800000,364,1185135,465070
17,opp,625,50,false,21,relax,32,0,78,399,1000,11000,1399,570430,709114
14,opp,625,40,false,21,pdisp,32,0,78,352,0,11000,352,1096109,709114
17,opp,625,51,false,2,relax,32,0,78,396,1000,1800000,1396,749180,475106
17,opp,625,41,false,2,pdisp,32,0,78,348,0,1800000,348,1262986,475106
15,opp,625,46,false,3,relax,32,1,78,396,1000,1484000,1396,699690,451879
14,opp,625,38,false,3,pdisp,32,0,78,392,0,1484000,392,1218457,451879
16,opp,625,49,false,4,relax,32,1,78,411,1000,1800000,1411,619881,460877
18,opp,625,47,false,4,pdisp,32,0,78,375,0,1800000,375,1119006,460877
17,opp,625,50,false,5,relax,32,0,78,399,1000,1800000,1399,629064,469136
13,opp,625,37,false,5,pdisp,32,0,78,402,0,1800000,402,1147943,469136
18,opp,625,49,false,6,relax,32,0,78,410,1000,1800000,1410,616992,491677
16,opp,625,49,false,6,pdisp,32,0,78,381,0,1800000,381,1189345,491677
16,opp,625,46,false,7,relax,32,0,78,421,1000,1800000,1421,620188,454550
15,opp,625,44,false,7,pdisp,32,0,78,385,0,1800000,385,1113751,454550
17,opp,625,49,false,8,relax,32,0,78,397,1000,1800000,1397,556234,462146
17,opp,625,41,false,8,pdisp,32,0,78,334,0,1800000,334,1046587,462146
15,opp,625,43,false,9,relax,32,0,78,446,1000,1800000,1446,580954,488765
16,opp,625,42,false,9,pdisp,32,0,78,411,0,1800000,411,1094867,488765
