Add,Alloc,B,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Value,ValueOptim
0,queue,1250,0,true,10,relax,62,0,155,581,9000,1800000,9581,2771389,472705
0,queue,1250,0,true,10,pdisp,62,0,155,15,32,1800000,47,5333294,472705
0,queue,1250,0,true,11,relax,62,0,155,15,8000,1800000,8015,2586168,468053
0,queue,1250,0,true,11,pdisp,62,0,155,17,0,1800000,17,4909225,468053
0,queue,1250,0,true,12,relax,62,0,155,0,7000,1800000,7000,2051134,462072
0,queue,1250,0,true,12,pdisp,62,0,155,64,0,1800000,64,4569410,462072
0,queue,1250,0,true,13,relax,62,0,155,0,8000,1800000,8000,3350558,468505
0,queue,1250,0,true,13,pdisp,62,0,155,0,0,1800000,0,6076804,468505
0,queue,1250,0,true,14,relax,62,0,155,16,9000,977000,9016,2312157,459301
0,queue,1250,0,true,14,pdisp,62,0,155,16,0,977000,16,4809144,459301
0,queue,1250,0,true,15,relax,62,0,155,0,9000,1800000,9000,2221851,484674
0,queue,1250,0,true,15,pdisp,62,0,155,15,0,1800000,15,4850691,484674
4,queue,1250,6,false,16,relax,62,0,155,0,8000,1384000,8000,2241176,462365
0,queue,1250,0,true,16,pdisp,62,0,155,0,0,1384000,0,4828495,462365
0,queue,1250,0,true,17,relax,62,0,155,0,7000,1800000,7000,2513816,462745
0,queue,1250,0,true,17,pdisp,62,0,155,0,0,1800000,0,4929170,462745
0,queue,1250,0,true,18,relax,62,0,155,0,7000,1800000,7000,1981518,455692
0,queue,1250,0,true,18,pdisp,62,0,155,0,0,1800000,0,4335926,455692
0,queue,1250,0,true,19,relax,62,0,155,0,11000,1800000,11000,1946356,460741
0,queue,1250,0,true,19,pdisp,62,0,155,16,0,1800000,16,4400762,460741
0,queue,1250,0,true,1,relax,62,0,155,0,8000,1800000,8000,2526097,464246
0,queue,1250,0,true,1,pdisp,62,0,155,0,0,1800000,0,4649287,464246
1,queue,1250,3,false,20,relax,62,0,155,0,7000,1800000,7000,2295511,465070
0,queue,1250,0,true,20,pdisp,62,0,155,0,0,1800000,0,4713948,465070
0,queue,1250,0,true,21,relax,62,0,155,16,8000,11000,8016,2120460,709114
0,queue,1250,0,true,21,pdisp,62,0,155,17,0,11000,17,4301434,709114
0,queue,1250,0,true,2,relax,62,0,155,0,8000,1800000,8000,2669402,475106
1,queue,1250,1,false,2,pdisp,62,0,155,16,0,1800000,16,5035059,475106
0,queue,1250,0,true,3,relax,62,0,155,16,7000,1484000,7016,2427159,451879
0,queue,1250,0,true,3,pdisp,62,0,155,15,0,1484000,15,4739724,451879
0,queue,1250,0,true,4,relax,62,0,155,16,7000,1800000,7016,2350421,460877
0,queue,1250,0,true,4,pdisp,62,0,155,0,0,1800000,0,4713333,460877
1,queue,1250,1,false,5,relax,62,0,155,17,8000,1800000,8017,2152337,469136
0,queue,1250,0,true,5,pdisp,62,0,155,0,0,1800000,0,4301497,469136
0,queue,1250,0,true,6,relax,62,0,155,0,7000,1800000,7000,2635004,491677
0,queue,1250,0,true,6,pdisp,62,0,155,0,16,1800000,16,4934175,491677
0,queue,1250,0,true,7,relax,62,0,155,0,7000,1800000,7000,2040268,454550
1,queue,1250,1,false,7,pdisp,62,0,155,16,0,1800000,16,4329406,454550
0,queue,1250,0,true,8,relax,62,0,155,16,7000,1800000,7016,2168125,462146
0,queue,1250,0,true,8,pdisp,62,0,155,1,16,1800000,17,4439148,462146
0,queue,1250,0,true,9,relax,62,0,155,0,9000,1800000,9000,2591842,488765
0,queue,1250,0,true,9,pdisp,62,0,155,16,0,1800000,16,4949525,488765
