Alloc,B,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,1250,4.897480448477887,10,pdisp,62,155,1800000,69174,1052092,1000566,0.3,0.1,70
queue,1250,4.462918637705437,11,pdisp,62,155,1800000,58601,1006449,961532,0.3,0.1,70
queue,1250,7.247820941974736,12,pdisp,62,155,1800000,59253,1016609,942927,0.3,0.1,70
queue,1250,4.5697795147100155,13,pdisp,62,155,1800000,73096,1061386,1012883,0.3,0.1,70
queue,1250,6.7641196013288996,14,pdisp,62,155,1800000,57489,1061025,989256,0.3,0.1,70
queue,1250,6.058149642058385,15,pdisp,62,155,1800000,59976,1023910,961880,0.3,0.1,70
queue,1250,4.4740025350205155,16,pdisp,62,155,1800000,64811,1036678,990297,0.3,0.1,70
queue,1250,4.952089363025336,17,pdisp,62,155,1800000,62884,1045175,993417,0.3,0.1,70
queue,1250,5.0953122083007285,18,pdisp,62,155,1800000,63091,1033813,981137,0.3,0.1,70
queue,1250,5.0466885007987905,19,pdisp,62,155,1800000,66179,1025306,973562,0.3,0.1,70
queue,1250,4.29856019002548,1,pdisp,62,155,1800000,60427,991867,949231,0.3,0.1,70
queue,1250,4.438771599879732,20,pdisp,62,155,1800000,64718,1017714,972540,0.3,0.1,70
queue,1250,4.035344621848491,2,pdisp,62,155,1800000,58228,1018203,977115,0.3,0.1,70
queue,1250,6.323628272499171,3,pdisp,62,155,1800000,65018,1056150,989363,0.3,0.1,70
queue,1250,6.469210238291822,4,pdisp,62,155,1800000,62850,1041580,974198,0.3,0.1,70
queue,1250,5.464075104037236,5,pdisp,62,155,1800000,59649,1014060,958651,0.3,0.1,70
queue,1250,6.491900401269868,6,pdisp,62,155,1800000,61626,1030977,964047,0.3,0.1,70
queue,1250,4.6247955144663955,7,pdisp,62,155,1800000,61135,1015353,968395,0.3,0.1,70
queue,1250,4.270495788606388,8,pdisp,62,155,1800000,56087,1030419,986415,0.3,0.1,70
queue,1250,4.805937924970804,9,pdisp,62,155,1800000,62328,998598,950606,0.3,0.1,70
