Alloc,B,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,2500,10.246172712925826,10,pdisp,125,325,7200000,91030,994830,892898,0.3,0.1,10
queue,2500,8.507331008696383,10,pdisp,125,325,7200000,541634,975923,892898,0.3,0.1,30
queue,2500,9.066948832349386,10,pdisp,125,325,7200000,1136328,981929,892898,0.3,0.1,50
queue,2500,8.4664880911688,1,pdisp,125,325,7200000,258274,965418,883681,0.3,0.1,10
queue,2500,7.251090770356239,1,pdisp,125,325,7200000,722967,952767,883681,0.3,0.1,30
queue,2500,8.10066817460936,1,pdisp,125,325,7200000,1176141,961575,883681,0.3,0.1,50
queue,2500,9.243950158775949,2,pdisp,125,325,7200000,131660,984406,893408,0.3,0.1,10
queue,2500,8.082192344572437,2,pdisp,125,325,7200000,793485,971964,893408,0.3,0.1,30
queue,2500,7.980891837831939,2,pdisp,125,325,7200000,1066409,970894,893408,0.3,0.1,50
queue,2500,8.571162202897353,3,pdisp,125,325,7200000,380173,965365,882622,0.3,0.1,10
queue,2500,7.644415796952531,3,pdisp,125,325,7200000,387771,955678,882622,0.3,0.1,30
queue,2500,6.882760235941765,3,pdisp,125,325,7200000,1154019,947861,882622,0.3,0.1,50
queue,2500,8.175426183474476,4,pdisp,125,325,7200000,229208,994994,913649,0.3,0.1,10
queue,2500,8.265133282528437,4,pdisp,125,325,7200000,824193,995967,913649,0.3,0.1,30
queue,2500,8.009657662446978,4,pdisp,125,325,7200000,1213035,993201,913649,0.3,0.1,50
queue,2500,8.990552146117048,5,pdisp,125,325,7200000,105496,984033,895563,0.3,0.1,10
queue,2500,7.6139141916915065,5,pdisp,125,325,7200000,664051,969370,895563,0.3,0.1,30
queue,2500,7.366124763001192,5,pdisp,125,325,7200000,1112186,966777,895563,0.3,0.1,50
queue,2500,8.339700336607358,6,pdisp,125,325,7200000,318992,977697,896160,0.3,0.1,10
queue,2500,8.698482688920151,6,pdisp,125,325,7200000,559768,981539,896160,0.3,0.1,30
queue,2500,6.829644092484177,6,pdisp,125,325,7200000,1108919,961851,896160,0.3,0.1,50
queue,2500,9.041066054375445,7,pdisp,125,325,7201000,181792,982539,893707,0.3,0.1,10
queue,2500,7.856423347805508,7,pdisp,125,325,7201000,906671,969907,893707,0.3,0.1,30
queue,2500,7.37568571200562,7,pdisp,125,325,7201000,1104439,964873,893707,0.3,0.1,50
queue,2500,8.510120579978043,8,pdisp,125,325,7210000,204899,978106,894868,0.3,0.1,10
queue,2500,7.500395377852021,8,pdisp,125,325,7210000,563752,967429,894868,0.3,0.1,30
queue,2500,7.508617437455745,8,pdisp,125,325,7210000,1149255,967515,894868,0.3,0.1,50
queue,2500,7.790345505715357,9,pdisp,125,325,7200000,295601,951909,877752,0.3,0.1,10
queue,2500,9.020879284896932,9,pdisp,125,325,7200000,640362,964784,877752,0.3,0.1,30
queue,2500,8.015015184954633,9,pdisp,125,325,7200000,1081362,954234,877752,0.3,0.1,50
