Add,Alloc,B,Constraints,CyclesLS,DeactivateImprovedTimes,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
18,opp,625,51,3,0,false,5.959109455913447,41.03959797089555,10,299074,59.49838757487681,0,relax,32,0,1,78,0,1056,2056,328,1000,1800000,867,3251,613611,502659,472705,801733
17,opp,625,44,3,0,false,1.5940061870006406,46.74676535365655,10,407293,84.7887634742132,0,pdisp,32,0,1,78,0,445,476,296,31,1800000,969,1741,1109899,480362,472705,887655
17,opp,625,53,0,0,false,100.0,100.0,11,0,0.0,0,relax,32,2,0,78,0,491,1491,0,1000,1800000,3292,4783,597886,10000000,468053,10000000
15,opp,625,40,0,0,false,100.0,100.0,11,0,0.0,0,pdisp,32,0,0,78,0,508,508,0,0,1800000,2947,3455,1108820,10000000,468053,10000000
21,opp,625,55,0,0,false,100.0,100.0,12,0,0.0,0,relax,32,0,0,78,0,443,1443,0,1000,1800000,3823,5266,603001,10000000,462072,10000000
17,opp,625,43,3,0,false,6.769083634470697,36.70628071732662,12,234423,47.29884326935299,0,pdisp,32,0,1,78,0,395,410,269,15,1800000,712,1391,1103279,495621,462072,730044
18,opp,625,50,4,0,false,9.349217528597741,40.69189101602504,13,273127,52.84719749856818,0,relax,32,0,1,78,0,464,1464,334,1000,1800000,1108,2906,559199,516824,468505,789951
16,opp,625,46,3,0,false,7.686108533180436,41.38060037636131,13,291719,57.48010395792817,0,pdisp,32,0,1,78,0,473,473,270,0,1800000,1023,1766,1075656,507513,468505,799232
18,opp,625,54,5,0,false,10.668593456435227,40.37560818564656,14,256170,49.823593709277766,0,relax,32,0,1,78,0,439,1439,350,1000,977000,1047,2836,581438,514154,459301,770324
17,opp,625,49,2,0,false,7.160529262662562,44.14537008324061,14,327589,66.21624899439286,0,pdisp,32,0,1,78,0,395,395,158,0,977000,790,1343,1079424,494726,459301,822315
17,opp,625,48,3,0,false,11.127695467214316,51.09218512706926,15,445635,81.71391374504914,0,relax,32,0,1,78,0,428,1428,254,1000,1800000,1530,3212,595672,545360,484674,990995
16,opp,625,45,4,0,false,5.163180129182232,46.28323674437008,15,391216,76.54976607489125,0,pdisp,32,0,1,78,0,365,365,429,0,1800000,680,1474,1132966,511061,484674,902277
19,opp,625,53,3,0,false,13.162085920450151,41.96461632117686,16,264249,49.62925817829414,0,relax,32,0,1,78,0,400,1400,237,1000,1384000,836,2473,552993,532446,462365,796695
17,opp,625,46,2,0,false,14.126865616201234,43.47063282472613,16,279492,51.90889032516882,0,pdisp,32,0,1,78,0,343,343,199,0,1384000,650,1192,1093914,538428,462365,817920
19,opp,625,54,3,0,false,7.52830633590319,51.231015196274235,17,448433,89.61168463164795,0,relax,32,0,1,78,0,397,1397,313,1000,1800000,1500,3210,565915,500418,462745,948851
15,opp,625,44,3,0,false,11.002361756469824,49.61021679546918,17,398379,76.61841862325754,0,pdisp,32,1,1,78,0,365,365,395,0,1800000,787,1547,1118349,519952,462745,918331
18,opp,625,53,4,0,false,12.633223731510679,63.86336511964473,18,739440,141.76788059472568,0,relax,32,0,1,78,0,395,1395,744,1000,1800000,1994,4133,761565,521585,455692,1261025
15,opp,625,43,2,0,false,10.513344683825942,39.593678500698594,18,245149,48.14120955405132,0,pdisp,32,0,1,78,0,348,348,143,0,1800000,659,1150,1270921,509229,455692,754378
17,opp,625,49,3,0,false,15.672809600767245,48.042257158354964,19,340388,62.29956458316938,0,relax,32,0,1,78,0,397,1397,296,1000,1800000,1721,3414,605008,546373,460741,886761
16,opp,625,42,2,0,false,10.986671406409087,46.89391022907239,19,349977,67.61416435958417,0,pdisp,32,0,1,78,0,423,423,175,0,1800000,835,1433,1121525,517609,460741,867586
16,opp,625,45,4,0,false,16.18065774150741,50.96051666987085,1,392813,70.92215612107644,0,relax,32,0,1,78,0,380,1380,470,1000,1800000,665,2515,626646,553865,464246,946678
15,opp,625,42,3,0,false,5.739532277255066,54.69037914987975,1,532094,108.03631977974231,0,pdisp,32,0,1,78,0,408,408,286,0,1800000,1233,1927,1138209,492514,464246,1024608
17,opp,625,47,0,0,false,100.0,100.0,20,0,0.0,0,relax,32,0,0,78,0,413,1413,0,1000,1800000,2739,4152,634481,10000000,465070,10000000
17,opp,625,50,3,0,false,10.891449549159438,43.96004289725144,20,307976,59.008955498415446,0,pdisp,32,0,2,78,0,344,344,270,0,1800000,4708,5322,1185135,521914,465070,829890
17,opp,625,50,6,0,false,-41.165533277062,16.097666020639736,21,342838,68.2498287971206,0,relax,32,0,1,78,0,414,1414,470,1000,11000,1107,2991,570430,502328,709114,845166
14,opp,625,40,3,0,false,-42.865144091290055,7.773484392293762,21,272531,54.906800012894074,0,pdisp,32,0,1,78,0,375,375,222,0,11000,679,1276,1096109,496352,709114,768883
17,opp,625,51,0,0,false,100.0,100.0,2,0,0.0,0,relax,32,0,0,78,0,397,1397,0,1000,1800000,2851,4248,749180,10000000,475106,10000000
17,opp,625,41,0,0,false,100.0,100.0,2,0,0.0,0,pdisp,32,0,0,78,0,363,363,0,0,1800000,3953,4316,1262986,10000000,475106,10000000
15,opp,625,46,4,0,false,16.9778076639714,61.44393581938643,3,627718,115.32849397468614,0,relax,32,1,1,78,0,379,1379,507,1000,1484000,957,2843,699690,544287,451879,1172005
14,opp,625,38,4,0,false,7.354192422742023,39.7805399080741,3,262638,53.84695816905827,0,pdisp,32,0,1,78,0,363,363,398,0,1484000,459,1220,1218457,487749,451879,750387
16,opp,625,49,3,0,false,13.826095411183537,50.066469407279236,4,388159,72.57723130312516,0,relax,32,1,1,78,0,428,1428,348,1000,1800000,745,2521,619881,534822,460877,922981
18,opp,625,47,3,0,false,6.302388605281406,28.980247849576692,4,157065,31.93176342866204,0,pdisp,32,0,1,78,0,349,349,238,0,1800000,333,920,1119006,491877,460877,648942
17,opp,625,50,4,0,false,12.286271452316445,48.86990563837416,5,382685,71.5501010565599,0,relax,32,0,1,78,0,396,1396,365,1000,1800000,870,2631,629064,534849,469136,917534
13,opp,625,37,3,0,false,6.051982849945025,34.75123644637801,5,219639,43.98436389196507,0,pdisp,32,0,2,78,0,396,396,231,0,1800000,3807,4434,1147943,499357,469136,718996
18,opp,625,49,3,0,false,6.882530519792884,43.342717118628634,6,339791,64.35216223689343,0,relax,32,0,1,78,0,409,1409,239,1000,1800000,873,2521,616992,528018,491677,867809
16,opp,625,49,3,0,false,8.196424403678293,48.16770539916002,6,413017,77.11655697147926,0,pdisp,32,0,1,78,0,382,382,289,0,1800000,664,1335,1189345,535575,491677,948592
16,opp,625,46,0,0,false,100.0,100.0,7,0,0.0,0,relax,32,0,0,78,0,412,1412,0,1000,1800000,2998,4410,620188,10000000,454550,10000000
