Add,Alloc,B,Constraints,CyclesLS,DeactivateImprovedTimes,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
1,queue,625,3,0,0,false,100.0,100.0,10,0,0.0,0,relax,32,0,0,78,0,555,1555,0,1000,1800000,841,2396,976581,10000000,472705,10000000
2,queue,625,6,0,0,false,100.0,100.0,10,0,0.0,0,pdisp,32,0,0,78,0,0,32,0,32,1800000,950,982,1990112,10000000,472705,10000000
3,queue,625,7,4,0,false,15.212705060576203,60.871676977094126,11,644168,116.69033679207001,0,relax,32,0,2,78,0,0,1000,557,1000,1800000,1190,2747,1131310,552032,468053,1196200
1,queue,625,3,3,0,false,7.51256738171644,58.76461135642019,11,629004,124.29140517554815,0,pdisp,32,0,1,78,0,0,0,349,0,1800000,286,635,2188767,506072,468053,1135076
2,queue,625,6,0,0,false,100.0,100.0,12,0,0.0,0,relax,32,0,0,78,0,0,1000,0,1000,1800000,1072,2072,947457,10000000,462072,10000000
2,queue,625,6,3,0,false,7.389822083885333,46.8412272931215,12,370287,74.21428900696071,0,pdisp,32,0,1,78,0,0,0,287,0,1800000,237,524,1796440,498943,462072,869230
2,queue,625,5,3,0,false,12.679671075193466,46.96888232877131,13,346917,64.65866223328909,0,relax,32,0,1,78,0,0,1000,379,1000,1800000,190,1569,860036,536536,468505,883453
3,queue,625,9,0,0,false,100.0,100.0,13,0,0.0,0,pdisp,32,0,0,78,0,16,16,0,0,1800000,869,885,1729637,10000000,468505,10000000
2,queue,625,6,3,0,false,14.582818035576473,45.370671024633694,14,303044,56.35773597537729,0,relax,32,0,1,78,0,0,1000,269,1000,977000,331,1600,805641,537715,459301,840759
2,queue,625,6,3,0,false,7.00526422352703,52.91393715720949,14,481550,97.49949382466086,0,pdisp,32,0,1,78,0,0,0,334,0,977000,269,603,1741088,493900,459301,975450
1,queue,625,3,3,0,false,11.19315745691345,56.27469660391249,15,562690,103.10171833143384,0,relax,32,0,1,78,0,0,1000,453,1000,1800000,253,1706,1044395,545762,484674,1108452
2,queue,625,6,3,0,false,5.828749516683407,54.393710567545064,15,548062,106.48742016775701,0,pdisp,32,0,1,78,0,0,0,396,0,1800000,363,759,2063193,514673,484674,1062735
4,queue,625,10,0,0,false,100.0,100.0,16,0,0.0,0,relax,32,0,0,78,0,0,1000,0,1000,1384000,931,1931,903412,10000000,462365,10000000
1,queue,625,3,0,0,false,100.0,100.0,16,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1384000,772,772,1899374,10000000,462365,10000000
2,queue,625,5,3,0,false,8.48692797531938,53.10517525831702,17,481112,95.1453545860855,0,relax,32,0,1,78,0,0,1000,526,1000,1800000,158,1684,939747,505660,462745,986772
1,queue,625,3,3,0,false,10.840659795880224,57.06594148843389,17,558795,107.6657630214505,0,pdisp,32,0,1,78,0,0,0,443,0,1800000,159,602,1988847,519009,462745,1077804
2,queue,625,6,4,0,false,15.417426135119182,65.97264173274502,18,800439,148.57226118042743,0,relax,32,0,1,78,0,0,1000,918,1000,1800000,301,2219,1270206,538754,455692,1339193
2,queue,625,6,3,0,false,9.286502024517162,50.13574215009875,18,411523,81.92088258596732,0,pdisp,32,0,1,78,0,0,0,351,0,1800000,222,573,2139644,502342,455692,913865
3,queue,625,8,4,0,false,12.500308605048204,46.94509472918151,19,341860,64.92290571118745,0,relax,32,0,1,78,0,0,1000,668,1000,1800000,142,1810,845569,526563,460741,868423
2,queue,625,6,2,0,false,11.635395629918166,58.689422671723555,19,593901,113.90309718474366,0,pdisp,32,0,1,78,0,0,0,248,0,1800000,111,359,1941933,521409,460741,1115310
2,queue,625,4,3,0,false,17.82543972840123,54.005221207812994,1,444394,78.66062720483723,0,relax,32,0,1,78,0,0,1000,459,1000,1800000,301,1760,961239,564951,464246,1009345
2,queue,625,6,0,0,false,100.0,100.0,1,0,0.0,0,pdisp,32,0,0,78,0,16,16,0,0,1800000,797,813,1971313,10000000,464246,10000000
2,queue,625,4,3,0,false,14.327925445197465,54.13139918612748,20,471069,86.77717007860382,0,relax,32,0,1,78,0,0,1000,431,1000,1800000,190,1621,965154,542849,465070,1013918
3,queue,625,7,0,0,false,100.0,100.0,20,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1800000,818,818,2016153,10000000,465070,10000000
2,queue,625,6,6,0,false,-41.23329223819776,28.291488182638204,21,486797,96.95471103613518,0,relax,32,0,1,78,0,0,1000,593,1000,11000,270,1863,956311,502087,709114,988884
2,queue,625,6,3,0,false,-42.81594206109285,29.104055315941125,21,503695,101.44444466822281,0,pdisp,32,0,1,78,0,0,0,301,0,11000,348,649,1920516,496523,709114,1000218
1,queue,625,3,3,0,false,14.60702834054668,64.16279585497544,2,769358,138.28022775964456,0,relax,32,0,1,78,0,0,1000,618,1000,1800000,184,1802,1276839,556376,475106,1325734
3,queue,625,9,0,0,false,100.0,100.0,2,0,0.0,0,pdisp,32,0,0,78,0,0,16,0,16,1800000,777,793,2203835,10000000,475106,10000000
1,queue,625,3,4,0,false,15.611717425244088,63.026834814156004,3,686705,128.24197536397523,0,relax,32,0,1,78,0,0,1000,677,1000,1484000,126,1803,1187539,535476,451879,1222181
3,queue,625,7,3,0,false,9.35462064178868,54.879780329505735,3,502987,100.89746907302317,0,pdisp,32,0,1,78,0,0,0,296,0,1484000,193,489,2151102,498513,451879,1001500
1,queue,625,3,3,0,false,12.726243272825055,55.050247923566985,4,497234,94.1584829628732,0,relax,32,0,1,78,0,0,1000,475,1000,1800000,95,1570,1005000,528082,460877,1025316
3,queue,625,7,4,0,false,6.628700394654741,46.54106069498929,4,368518,74.65984327263591,0,pdisp,32,0,1,78,0,0,0,349,0,1800000,159,508,1836611,493596,460877,862114
1,queue,625,3,4,0,false,17.189130031861467,52.80331427904572,5,427487,75.45907875343106,0,relax,32,0,1,78,0,16,1016,492,1000,1800000,111,1619,961634,566515,469136,994002
2,queue,625,6,3,0,false,6.297611581373608,50.20057300507086,5,441385,88.1595714508275,0,pdisp,32,0,1,78,0,0,0,280,0,1800000,300,580,1837473,500666,469136,942051
1,queue,625,3,3,0,false,7.018827818877749,48.64917084949545,6,428694,81.07043979485317,0,relax,32,0,1,78,0,0,1000,353,1000,1800000,111,1464,932418,528792,491677,957486
2,queue,625,4,0,0,false,100.0,100.0,6,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1800000,918,918,1942371,10000000,491677,10000000
1,queue,625,3,3,0,false,15.107360101299673,55.71134181334554,7,490894,91.6803158517932,0,relax,32,0,1,78,0,0,1000,551,1000,1800000,173,1724,1004516,535441,454550,1026335
1,queue,625,3,3,0,false,7.251918521254219,47.47424556700197,7,375294,76.57639091515658,0,pdisp,32,0,1,78,0,0,0,269,0,1800000,112,381,1851563,490091,454550,865385
3,queue,625,7,0,0,false,100.0,100.0,8,0,0.0,0,relax,32,0,0,78,0,0,1000,0,1000,1800000,585,1585,752980,10000000,462146,10000000
2,queue,625,6,3,0,false,4.7302367385980375,44.679608187225504,8,350307,72.21454899276839,0,pdisp,32,0,1,78,0,0,0,274,0,1800000,348,622,1534701,485092,462146,835399
2,queue,625,4,4,0,false,7.014373091593972,55.518171236361226,9,573162,109.04182560141543,0,relax,32,0,1,78,0,0,1000,473,1000,1800000,448,1921,1032442,525635,488765,1098797
1,queue,625,3,3,0,false,3.1845607140451815,51.70058145280192,9,507106,100.4484571410461,0,pdisp,32,0,1,78,0,0,0,301,0,1800000,127,428,2015653,504842,488765,1011948
