Add,Alloc,B,Constraints,CyclesLS,DeactivateImprovedTimes,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
34,opp,1250,96,5,0,false,57.68368283239711,79.03923837902794,10,1138115,101.88349036546339,0,relax,62,0,1,155,0,3719,12719,2215,9000,1800000,16758,31692,1336167,1117075,472705,2255190
33,opp,1250,90,4,0,false,57.632708959417634,70.04577049105534,10,462360,41.4400962239106,0,pdisp,62,0,1,155,0,2978,3020,1822,42,1800000,6822,11664,2498216,1115731,472705,1578091
34,opp,1250,95,3,0,false,58.010779601291105,77.8429737042921,11,997738,89.50747197895753,0,relax,62,0,1,155,0,3150,11150,1252,8000,1800000,13515,25917,1277268,1114698,468053,2112436
27,opp,1250,73,3,0,false,53.90756559057615,70.46128815852666,11,569075,56.04077339861699,0,pdisp,62,0,1,155,0,3290,3290,1137,0,1800000,6342,10769,2318105,1015466,468053,1584541
31,opp,1250,83,3,0,false,56.25283436514481,73.8526674611501,12,710953,67.31024309977059,0,relax,62,0,1,155,0,3394,10394,1629,7000,1800000,12850,24873,1218741,1056233,462072,1767186
33,opp,1250,89,3,0,false,55.81218322654682,72.49397878675678,12,634194,60.64779573491441,0,pdisp,62,0,1,155,0,3249,3249,1106,0,1800000,10357,14712,2340413,1045700,462072,1679894
36,opp,1250,102,4,0,false,59.0714159042325,81.25701104324324,13,1354939,118.36743429874839,0,relax,62,1,1,155,0,2884,10884,1810,8000,1800000,11722,24416,1558321,1144689,468505,2499628
31,opp,1250,86,3,0,false,56.976840287981204,73.05044948034228,13,649492,59.64332941522187,0,pdisp,62,0,1,155,0,3462,3477,1626,15,1800000,6960,12063,2676121,1088960,468505,1738452
30,opp,1250,86,4,0,false,59.3183243402196,74.39524007824681,14,664799,58.88325367666597,0,relax,62,1,1,155,0,3017,11017,1911,8000,977000,7139,20067,1444117,1129012,459301,1793811
26,opp,1250,73,3,0,false,57.335167616784624,72.22075050381154,14,576863,53.58525934643899,0,pdisp,62,0,1,155,0,3435,3435,1570,0,977000,6110,11115,2561907,1076533,459301,1653396
34,opp,1250,97,6,0,false,54.60361972895586,70.98596152844601,15,602832,56.46350064487486,0,relax,62,0,1,155,0,3481,12481,2702,9000,1800000,8357,23540,1205092,1067649,484674,1670481
30,opp,1250,81,3,0,false,54.836533399182784,69.6159823365792,15,522006,48.64218123197488,0,pdisp,62,1,1,155,0,3270,3286,1532,16,1800000,4752,9570,2297217,1073155,484674,1595161
36,opp,1250,100,3,0,false,59.468438829439854,74.16271124308895,16,648773,56.87234659913233,0,relax,62,1,1,155,0,3543,11543,1182,8000,1384000,10524,23249,1228677,1140753,462365,1789526
32,opp,1250,84,4,0,false,57.302168205622614,73.48223938334657,16,660728,61.01597873073303,0,pdisp,62,1,1,155,0,3227,3227,2012,0,1384000,10594,15833,2359466,1082877,462365,1743605
37,opp,1250,106,4,0,false,60.63781464569822,77.97915194430367,17,925787,78.74963423181876,0,relax,62,2,1,155,0,3296,10296,1541,7000,1800000,15652,27489,1329962,1175608,462745,2101395
32,opp,1250,90,4,0,false,55.757936170273794,71.03285044839316,17,551543,52.731851475086025,0,pdisp,62,0,1,155,0,3116,3116,2137,0,1800000,4955,10208,2461972,1045939,462745,1597482
31,opp,1250,86,4,0,false,59.719792628866664,71.73138826320233,18,480702,42.49092861783515,0,relax,62,1,1,155,0,2963,10963,1583,8000,1800000,7140,19686,1260007,1131305,455692,1612007
30,opp,1250,80,3,0,false,56.36872663766162,71.53095789356627,18,556242,53.258663214657766,0,pdisp,62,0,1,155,0,2925,2925,1082,0,1800000,7204,11211,2342167,1044416,455692,1600658
35,opp,1250,96,4,0,false,55.25726482778445,72.70035633915144,19,657962,63.8949421027894,0,relax,62,0,1,155,0,3541,14541,1630,11000,1800000,15974,32145,1093428,1029756,460741,1687718
33,opp,1250,79,3,0,false,56.14847090086077,69.49064438739394,19,459479,43.73141686748823,0,pdisp,62,0,1,155,0,3562,3562,1626,0,1800000,5763,10951,2161929,1050684,460741,1510163
37,opp,1250,98,4,0,false,57.37718463894469,77.70700728700224,1,993279,91.1937796319487,0,relax,62,1,1,155,0,3559,11559,1726,8000,1800000,12286,25571,1235295,1089196,464246,2082475
33,opp,1250,87,3,0,false,56.070008497463064,64.7884215292689,1,261661,24.760074414309045,0,pdisp,62,0,1,155,0,3200,3200,1578,0,1800000,4616,9394,2320598,1056786,464246,1318447
30,opp,1250,85,5,0,false,58.55301385636014,75.45072805348296,20,772351,68.83183433682328,0,relax,62,0,1,155,0,3456,10456,2088,7000,1800000,9722,22266,1363100,1122084,465070,1894435
33,opp,1250,91,4,0,false,56.58659577189083,75.24375903932562,20,807338,75.36347419251554,0,pdisp,62,0,1,155,0,3502,3502,2232,0,1800000,15232,20966,2465609,1071259,465070,1878597
31,opp,1250,84,4,0,false,37.6484677529975,57.28149140134544,21,522685,45.959056840683594,0,relax,62,0,1,155,0,3636,11636,2047,8000,11000,9265,22948,1300401,1137284,709114,1659969
34,opp,1250,92,3,0,false,31.159394261228,56.72109736187614,21,608394,59.062733901508714,0,pdisp,62,0,1,155,0,3447,3447,1492,0,11000,12704,17643,2365977,1030081,709114,1638475
33,opp,1250,96,4,0,false,58.2366250766956,79.51751443800839,2,1181958,103.89798297137693,0,relax,62,1,1,155,0,2888,10888,2077,8000,1800000,21968,34933,1325401,1137614,475106,2319572
27,opp,1250,78,3,0,false,54.754696605073775,71.23343491215441,2,601524,57.284344713242106,0,pdisp,62,0,1,155,0,3685,3685,1126,0,1800000,7973,12784,2378953,1050067,475106,1651591
35,opp,1250,100,4,0,false,58.733340517359466,76.52069226388663,3,829562,75.75756468819804,0,relax,62,0,1,155,0,3336,10336,2077,7000,1484000,14485,26898,1330238,1095022,451879,1924584
30,opp,1250,79,3,0,false,56.83003676161506,75.17808450939421,3,773740,73.91874230948542,0,pdisp,62,0,1,155,0,3128,3128,1363,0,1484000,14909,19400,2380493,1046744,451879,1820484
34,opp,1250,100,4,0,false,59.0283846385668,75.20352257754195,4,733770,65.23159585693978,0,relax,62,0,1,155,0,3464,11464,1978,8000,1800000,12140,25582,1244939,1124869,460877,1858639
27,opp,1250,78,3,0,false,55.320594850317974,70.43272130053762,4,527220,51.110981852024196,0,pdisp,62,0,1,155,0,3589,3589,1495,0,1800000,6095,11179,2320237,1031520,460877,1558740
33,opp,1250,89,4,0,false,57.74824715063471,73.90220782284014,5,687273,61.89780561722363,0,relax,62,0,1,155,0,3230,12230,1637,9000,1800000,16343,30210,1172943,1110335,469136,1797608
30,opp,1250,84,3,0,false,55.797598498496235,66.83871606194909,5,353374,33.295205288428924,0,pdisp,62,0,1,155,0,2789,2789,1358,0,1800000,5433,9580,2250815,1061336,469136,1414710
34,opp,1250,92,4,0,false,56.2776167741029,75.83073744523318,6,909764,80.90077480363134,0,relax,62,1,1,155,0,3478,11478,1812,8000,1800000,12924,26214,1278441,1124543,491677,2034307
28,opp,1250,80,3,0,false,52.25639621373666,66.30810102971701,6,429505,41.706479140205936,0,pdisp,62,0,1,155,0,3226,3242,1121,16,1800000,6046,10409,2314975,1029828,491677,1459333
35,opp,1250,90,4,0,false,58.8497297688777,73.26869911981657,7,595831,53.9403952526231,0,relax,62,0,1,155,0,2831,9831,1894,7000,1800000,8568,20293,1274880,1104610,454550,1700441
26,opp,1250,69,3,0,false,56.462646281868814,70.46681341757217,7,495070,47.41840876742979,0,pdisp,62,0,1,155,0,3737,3737,1151,0,1800000,7038,11926,2335379,1044046,454550,1539116
33,opp,1250,90,4,0,false,57.717889929241004,73.26308335464282,8,635488,58.14130937982043,0,relax,62,1,1,155,0,3257,11257,1793,8000,1800000,12287,25337,1176476,1093006,462146,1728494
