Add,Alloc,B,Constraints,CyclesLS,DeactivateImprovedTimes,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
1,queue,625,3,0,0,false,100.0,100.0,10,0,0.0,0,relax,32,0,0,78,0,554,1554,0,1000,1800000,786,2340,976581,10000000,472705,10000000
2,queue,625,6,0,0,false,100.0,100.0,10,0,0.0,0,pdisp,32,0,0,78,0,0,33,0,33,1800000,968,1001,1990112,10000000,472705,10000000
3,queue,625,7,4,0,false,14.459308807134896,60.871676977094126,11,649030,118.61578668421149,0,relax,32,0,2,78,0,0,1000,329,1000,1800000,1215,2544,1131310,547170,468053,1196200
1,queue,625,3,3,0,false,11.551435142229217,58.76461135642019,11,605895,114.4967411906323,0,pdisp,32,0,1,78,0,0,0,269,0,1800000,284,553,2188767,529181,468053,1135076
2,queue,625,6,0,0,false,100.0,100.0,12,0,0.0,0,relax,32,0,0,78,0,0,1000,0,1000,1800000,993,1993,947457,10000000,462072,10000000
2,queue,625,6,4,0,false,6.69622844958141,46.8412272931215,12,373996,75.51904756135484,0,pdisp,32,0,1,78,0,15,15,300,0,1800000,238,553,1796440,495234,462072,869230
2,queue,625,5,3,0,false,15.85621894032051,46.96888232877131,13,326662,58.66869256148177,0,relax,32,0,1,78,0,0,1000,238,1000,1800000,237,1475,860036,556791,468505,883453
3,queue,625,9,0,0,false,100.0,100.0,13,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1800000,881,881,1729637,10000000,468505,10000000
2,queue,625,6,5,0,false,9.850477341958985,45.370671024633694,14,331271,65.0203733944666,0,relax,32,0,1,78,0,0,1000,330,1000,977000,316,1646,805641,509488,459301,840759
2,queue,625,6,4,0,false,7.754583139189252,52.91393715720949,14,477538,95.90811227686821,0,pdisp,32,0,1,78,0,0,0,333,0,977000,286,619,1741088,497912,459301,975450
1,queue,625,3,4,0,false,9.465449512185554,56.27469660391249,15,573105,107.05299553373793,0,relax,32,0,1,78,0,0,1000,348,1000,1800000,301,1649,1044395,535347,484674,1108452
2,queue,625,6,4,0,false,6.264033589717311,54.393710567545064,15,545672,105.53298147421106,0,pdisp,32,0,1,78,0,0,0,334,0,1800000,380,714,2063193,517063,484674,1062735
4,queue,625,10,0,0,false,100.0,100.0,16,0,0.0,0,relax,32,0,0,78,0,0,1000,0,1000,1384000,977,1977,903412,10000000,462365,10000000
1,queue,625,3,0,0,false,100.0,100.0,16,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1384000,763,763,1899374,10000000,462365,10000000
2,queue,625,5,3,0,false,6.312509616864137,53.10517525831702,17,492848,99.78215271985164,0,relax,32,0,1,78,0,0,1000,238,1000,1800000,158,1396,939747,493924,462745,986772
1,queue,625,3,4,0,false,8.494890291553947,57.06594148843389,17,572100,113.12941958141522,0,pdisp,32,0,1,78,0,0,0,333,0,1800000,158,491,1988847,505704,462745,1077804
2,queue,625,6,3,0,false,7.274699202145518,65.97264173274502,18,847750,172.50220269695572,0,relax,32,0,1,78,0,0,1000,317,1000,1800000,333,1650,1270206,491443,455692,1339193
2,queue,625,6,3,0,false,8.923349968721206,50.13574215009875,18,413526,82.64916386689825,0,pdisp,32,0,1,78,0,15,15,236,0,1800000,238,489,2139644,500339,455692,913865
3,queue,625,8,4,0,false,15.51493347415981,46.94509472918151,19,323071,59.24082060760756,0,relax,32,0,1,78,0,0,1000,411,1000,1800000,155,1566,845569,545352,460741,868423
2,queue,625,6,4,0,false,10.120712727896974,58.689422671723555,19,602688,117.56967121972917,0,pdisp,32,0,1,78,0,16,16,392,0,1800000,148,556,1941933,512622,460741,1115310
2,queue,625,4,4,0,false,3.3483299988133153,54.005221207812994,1,529016,110.13617749500864,0,relax,32,0,1,78,0,0,1000,443,1000,1800000,254,1697,961239,480329,464246,1009345
2,queue,625,6,0,0,false,100.0,100.0,1,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1800000,774,774,1971313,10000000,464246,10000000
2,queue,625,4,4,0,false,14.747396979029181,54.13139918612748,20,468398,85.86266314708901,0,relax,32,0,1,78,0,0,1000,334,1000,1800000,278,1612,965154,545520,465070,1013918
3,queue,625,7,0,0,false,100.0,100.0,20,0,0.0,0,pdisp,32,0,0,78,0,15,15,0,0,1800000,810,825,2016153,10000000,465070,10000000
2,queue,625,6,6,0,false,-41.46263612841705,28.291488182638204,21,487611,97.2745390236458,0,relax,32,0,1,78,0,0,1000,463,1000,11000,206,1669,956311,501273,709114,988884
2,queue,625,6,4,0,false,-43.891090535355204,29.104055315941125,21,507405,102.96096085127624,0,pdisp,32,0,1,78,0,0,0,270,0,11000,331,601,1920516,492813,709114,1000218
1,queue,625,3,4,0,false,13.903401234802814,64.16279585497544,2,773905,140.24362619579617,0,relax,32,0,1,78,0,0,1000,337,1000,1800000,202,1539,1276839,551829,475106,1325734
3,queue,625,9,0,0,false,100.0,100.0,2,0,0.0,0,pdisp,32,0,0,78,0,0,0,0,0,1800000,793,793,2203835,10000000,475106,10000000
