instance,threads,milliseconds,value
inst_1_1250_155_62.jld2,1,62180,1020149
inst_1_1250_155_62.jld2,2,42217,1001316
inst_1_1250_155_62.jld2,3,38077,993572
inst_1_1250_155_62.jld2,4,36287,983951
inst_1_1250_155_62.jld2,5,30890,1005404
inst_1_1250_155_62.jld2,6,31411,1011612
inst_1_1250_155_62.jld2,7,28908,1000616
inst_1_1250_155_62.jld2,8,28914,1013086
inst_10_1250_155_62.jld2,1,74187,1056587
inst_10_1250_155_62.jld2,2,44747,1052166
inst_10_1250_155_62.jld2,3,39489,1050174
inst_10_1250_155_62.jld2,4,34099,1059552
inst_10_1250_155_62.jld2,5,32433,1052421
inst_10_1250_155_62.jld2,6,31676,1062804
inst_10_1250_155_62.jld2,7,32707,1051284
inst_10_1250_155_62.jld2,8,33938,1068245
inst_11_1250_155_62.jld2,1,65781,1026819
inst_11_1250_155_62.jld2,2,44318,1029482
inst_11_1250_155_62.jld2,3,36355,1018535
inst_11_1250_155_62.jld2,4,32476,1012526
inst_11_1250_155_62.jld2,5,31561,1029945
inst_11_1250_155_62.jld2,6,30788,1035576
inst_11_1250_155_62.jld2,7,30548,1018659
inst_11_1250_155_62.jld2,8,28967,1004765
inst_12_1250_155_62.jld2,1,68839,1023012
inst_12_1250_155_62.jld2,2,40372,1003397
inst_12_1250_155_62.jld2,3,36274,1005311
inst_12_1250_155_62.jld2,4,35524,1014501
inst_12_1250_155_62.jld2,5,29216,1000147
inst_12_1250_155_62.jld2,6,31487,1020085
inst_12_1250_155_62.jld2,7,31905,1012099
inst_12_1250_155_62.jld2,8,30410,1005241
inst_13_1250_155_62.jld2,1,79059,1066988
inst_13_1250_155_62.jld2,2,52380,1058625
inst_13_1250_155_62.jld2,3,41434,1064793
inst_13_1250_155_62.jld2,4,34526,1062923
inst_13_1250_155_62.jld2,5,32678,1053461
inst_13_1250_155_62.jld2,6,33224,1063005
inst_13_1250_155_62.jld2,7,35457,1064726
inst_13_1250_155_62.jld2,8,33090,1064800
inst_14_1250_155_62.jld2,1,67584,1065391
inst_14_1250_155_62.jld2,2,41644,1049294
inst_14_1250_155_62.jld2,3,35130,1068006
inst_14_1250_155_62.jld2,4,31591,1063361
inst_14_1250_155_62.jld2,5,27895,1065763
inst_14_1250_155_62.jld2,6,31527,1049250
inst_14_1250_155_62.jld2,7,31603,1054422
inst_14_1250_155_62.jld2,8,29555,1062639
inst_15_1250_155_62.jld2,1,69669,1011015
inst_15_1250_155_62.jld2,2,42409,1027794
inst_15_1250_155_62.jld2,3,36479,1005656
inst_15_1250_155_62.jld2,4,33080,1010341
inst_15_1250_155_62.jld2,5,31676,1003331
inst_15_1250_155_62.jld2,6,28716,1028772
inst_15_1250_155_62.jld2,7,32005,1007493
inst_15_1250_155_62.jld2,8,32229,1028027
inst_16_1250_155_62.jld2,1,72607,1048601
inst_16_1250_155_62.jld2,2,43536,1038620
inst_16_1250_155_62.jld2,3,37216,1050071
inst_16_1250_155_62.jld2,4,34070,1035073
inst_16_1250_155_62.jld2,5,31782,1052349
inst_16_1250_155_62.jld2,6,32152,1043333
inst_16_1250_155_62.jld2,7,32719,1046628
inst_16_1250_155_62.jld2,8,31874,1043086
inst_17_1250_155_62.jld2,1,73402,1038715
inst_17_1250_155_62.jld2,2,41463,1040982
inst_17_1250_155_62.jld2,3,35389,1040526
inst_17_1250_155_62.jld2,4,34117,1038069
inst_17_1250_155_62.jld2,5,30144,1049807
inst_17_1250_155_62.jld2,6,30368,1039691
inst_17_1250_155_62.jld2,7,31375,1029560
inst_17_1250_155_62.jld2,8,30957,1027473
inst_18_1250_155_62.jld2,1,74794,1039047
inst_18_1250_155_62.jld2,2,40144,1047088
inst_18_1250_155_62.jld2,3,38476,1025124
inst_18_1250_155_62.jld2,4,34458,1036718
inst_18_1250_155_62.jld2,5,31754,1040359
inst_18_1250_155_62.jld2,6,31768,1031742
inst_18_1250_155_62.jld2,7,31605,1040658
inst_18_1250_155_62.jld2,8,32905,1036236
inst_19_1250_155_62.jld2,1,77056,1023937
inst_19_1250_155_62.jld2,2,45982,1039105
inst_19_1250_155_62.jld2,3,37628,1031376
inst_19_1250_155_62.jld2,4,33022,1041807
inst_19_1250_155_62.jld2,5,30593,1048690
inst_19_1250_155_62.jld2,6,31973,1039618
inst_19_1250_155_62.jld2,7,32233,1025639
inst_19_1250_155_62.jld2,8,34051,1031506
inst_2_1250_155_62.jld2,1,66745,1039963
inst_2_1250_155_62.jld2,2,41716,1030985
inst_2_1250_155_62.jld2,3,34427,1052662
inst_2_1250_155_62.jld2,4,31447,1049809
inst_2_1250_155_62.jld2,5,29961,1046775
