instance,threads,milliseconds,value
inst_1_625_78_32.jld2,1,36764,486582
inst_1_625_78_32.jld2,2,24714,483937
inst_1_625_78_32.jld2,3,21087,473934
inst_1_625_78_32.jld2,4,20225,476879
inst_1_625_78_32.jld2,5,17597,473975
inst_1_625_78_32.jld2,6,17132,481186
inst_1_625_78_32.jld2,7,18616,484790
inst_1_625_78_32.jld2,8,17544,484658
inst_10_625_78_32.jld2,1,20884,468829
inst_10_625_78_32.jld2,2,17065,469182
inst_10_625_78_32.jld2,3,16171,477491
inst_10_625_78_32.jld2,4,14851,475256
inst_10_625_78_32.jld2,5,14115,470986
inst_10_625_78_32.jld2,6,15441,477924
inst_10_625_78_32.jld2,7,14197,480676
inst_10_625_78_32.jld2,8,14303,480046
inst_11_625_78_32.jld2,1,29815,495801
inst_11_625_78_32.jld2,2,20448,482174
inst_11_625_78_32.jld2,3,19186,491631
inst_11_625_78_32.jld2,4,16461,495940
inst_11_625_78_32.jld2,5,16310,499007
inst_11_625_78_32.jld2,6,15217,492938
inst_11_625_78_32.jld2,7,16690,482446
inst_11_625_78_32.jld2,8,15988,478886
inst_12_625_78_32.jld2,1,22114,468818
inst_12_625_78_32.jld2,2,16199,484647
inst_12_625_78_32.jld2,3,14858,479036
inst_12_625_78_32.jld2,4,14446,483529
inst_12_625_78_32.jld2,5,14247,477670
inst_12_625_78_32.jld2,6,13588,476717
inst_12_625_78_32.jld2,7,13953,487477
inst_12_625_78_32.jld2,8,14615,478755
inst_13_625_78_32.jld2,1,35187,486966
inst_13_625_78_32.jld2,2,24242,515801
inst_13_625_78_32.jld2,3,20490,505083
inst_13_625_78_32.jld2,4,19537,499016
inst_13_625_78_32.jld2,5,17940,504107
inst_13_625_78_32.jld2,6,17812,505662
inst_13_625_78_32.jld2,7,17681,501126
inst_13_625_78_32.jld2,8,17117,492327
inst_14_625_78_32.jld2,1,25982,472944
inst_14_625_78_32.jld2,2,18038,479476
inst_14_625_78_32.jld2,3,15997,484465
inst_14_625_78_32.jld2,4,16095,476012
inst_14_625_78_32.jld2,5,14271,472399
inst_14_625_78_32.jld2,6,14676,478914
inst_14_625_78_32.jld2,7,16137,483471
inst_14_625_78_32.jld2,8,16987,486350
inst_15_625_78_32.jld2,1,27695,499830
inst_15_625_78_32.jld2,2,19811,493785
inst_15_625_78_32.jld2,3,16550,488412
inst_15_625_78_32.jld2,4,15275,494469
inst_15_625_78_32.jld2,5,15355,494605
inst_15_625_78_32.jld2,6,15412,484841
inst_15_625_78_32.jld2,7,15851,495663
inst_15_625_78_32.jld2,8,16721,491927
inst_16_625_78_32.jld2,1,25860,479473
inst_16_625_78_32.jld2,2,19022,472397
inst_16_625_78_32.jld2,3,17319,469596
inst_16_625_78_32.jld2,4,15734,474237
inst_16_625_78_32.jld2,5,15502,465823
inst_16_625_78_32.jld2,6,15255,467664
inst_16_625_78_32.jld2,7,15782,464945
inst_16_625_78_32.jld2,8,15691,479313
inst_17_625_78_32.jld2,1,33954,483981
inst_17_625_78_32.jld2,2,23494,481566
inst_17_625_78_32.jld2,3,19418,492589
inst_17_625_78_32.jld2,4,19390,484768
inst_17_625_78_32.jld2,5,17921,480842
inst_17_625_78_32.jld2,6,16657,477199
inst_17_625_78_32.jld2,7,17091,483985
inst_17_625_78_32.jld2,8,16876,477031
inst_18_625_78_32.jld2,1,24550,472341
inst_18_625_78_32.jld2,2,16848,482589
inst_18_625_78_32.jld2,3,16735,467879
inst_18_625_78_32.jld2,4,14264,480213
inst_18_625_78_32.jld2,5,13644,488369
inst_18_625_78_32.jld2,6,14207,463142
inst_18_625_78_32.jld2,7,14681,483335
inst_18_625_78_32.jld2,8,14908,487637
inst_19_625_78_32.jld2,1,23955,476347
inst_19_625_78_32.jld2,2,15890,490034
inst_19_625_78_32.jld2,3,15467,494185
inst_19_625_78_32.jld2,4,15644,489684
inst_19_625_78_32.jld2,5,14587,488287
inst_19_625_78_32.jld2,6,15021,485936
inst_19_625_78_32.jld2,7,14551,494035
inst_19_625_78_32.jld2,8,14649,484360
inst_2_625_78_32.jld2,1,28235,489600
inst_2_625_78_32.jld2,2,20673,483537
inst_2_625_78_32.jld2,3,17887,479782
inst_2_625_78_32.jld2,4,17893,490423
inst_2_625_78_32.jld2,5,16312,488741
inst_2_625_78_32.jld2,6,15902,490368
inst_2_625_78_32.jld2,7,16532,478212
inst_2_625_78_32.jld2,8,18161,485433
inst_20_625_78_32.jld2,1,23729,478815
inst_20_625_78_32.jld2,2,18109,480592
inst_20_625_78_32.jld2,3,16969,476337
inst_20_625_78_32.jld2,4,15931,475698
inst_20_625_78_32.jld2,5,14770,472976
inst_20_625_78_32.jld2,6,14242,477906
inst_20_625_78_32.jld2,7,15785,476347
inst_20_625_78_32.jld2,8,15201,477311
inst_21_625_78_32.jld2,1,25479,476700
inst_21_625_78_32.jld2,2,18879,472510
inst_21_625_78_32.jld2,3,15455,477144
inst_21_625_78_32.jld2,4,15608,473256
inst_21_625_78_32.jld2,5,15650,474117
inst_21_625_78_32.jld2,6,14703,475468
inst_21_625_78_32.jld2,7,14821,468789
inst_21_625_78_32.jld2,8,16096,476168
inst_3_625_78_32.jld2,1,26659,472291
inst_3_625_78_32.jld2,2,19622,470036
inst_3_625_78_32.jld2,3,16199,476648
inst_3_625_78_32.jld2,4,14776,466927
inst_3_625_78_32.jld2,5,15331,482161
inst_3_625_78_32.jld2,6,15013,470656
inst_3_625_78_32.jld2,7,15501,470268
inst_3_625_78_32.jld2,8,15176,474834
inst_4_625_78_32.jld2,1,30480,487746
inst_4_625_78_32.jld2,2,18060,483655
inst_4_625_78_32.jld2,3,16995,480646
inst_4_625_78_32.jld2,4,15649,470120
inst_4_625_78_32.jld2,5,14754,481541
inst_4_625_78_32.jld2,6,15228,477773
inst_4_625_78_32.jld2,7,15866,486087
inst_4_625_78_32.jld2,8,16349,489328
inst_5_625_78_32.jld2,1,22926,482729
inst_5_625_78_32.jld2,2,18018,494656
inst_5_625_78_32.jld2,3,16507,492504
inst_5_625_78_32.jld2,4,16114,497249
inst_5_625_78_32.jld2,5,16095,487873
inst_5_625_78_32.jld2,6,15545,490764
inst_5_625_78_32.jld2,7,15702,495034
inst_5_625_78_32.jld2,8,15402,489751
inst_6_625_78_32.jld2,1,32718,521591
inst_6_625_78_32.jld2,2,19538,514665
inst_6_625_78_32.jld2,3,17066,502573
inst_6_625_78_32.jld2,4,16421,503685
inst_6_625_78_32.jld2,5,16805,531046
inst_6_625_78_32.jld2,6,16686,518548
inst_6_625_78_32.jld2,7,15922,515608
inst_6_625_78_32.jld2,8,16361,517426
inst_7_625_78_32.jld2,1,21416,478229
inst_7_625_78_32.jld2,2,14966,486306
inst_7_625_78_32.jld2,3,13867,479042
inst_7_625_78_32.jld2,4,13916,482593
inst_7_625_78_32.jld2,5,13295,477957
inst_7_625_78_32.jld2,6,13990,469827
inst_7_625_78_32.jld2,7,13348,468235
inst_7_625_78_32.jld2,8,13587,477932
inst_8_625_78_32.jld2,1,32880,499413
inst_8_625_78_32.jld2,2,20908,491252
inst_8_625_78_32.jld2,3,19013,491568
inst_8_625_78_32.jld2,4,16923,485975
inst_8_625_78_32.jld2,5,16834,488955
