group1,group2,meandiff,p-adj,lower,upper
0.1_10,0.1_30,4746.48,0.001,2357.3161,7135.6439
0.1_10,0.1_50,9953.36,0.001,7564.1961,12342.5239
0.1_10,0.1_70,14770.18,0.001,12381.0161,17159.3439
0.1_10,0.1_90,19705.02,0.001,17315.8561,22094.1839
0.1_10,0.3_30,4552.78,0.001,2163.6161,6941.9439
0.1_10,0.3_50,9743.8,0.001,7354.6361,12132.9639
0.1_10,0.3_70,14524.46,0.001,12135.2961,16913.6239
0.1_10,0.3_90,19970.5,0.001,17581.3361,22359.6639
0.1_10,0.5_30,4952.46,0.001,2563.2961,7341.6239
0.1_10,0.5_50,9746.74,0.001,7357.5761,12135.9039
0.1_10,0.5_70,15553.64,0.001,13164.4761,17942.8039
0.1_10,0.5_90,19711.92,0.001,17322.7561,22101.0839
0.1_10,0.7_30,4945.36,0.001,2556.1961,7334.5239
0.1_10,0.7_50,10444.52,0.001,8055.3561,12833.6839
0.1_10,0.7_70,14996.54,0.001,12607.3761,17385.7039
0.1_10,0.7_90,19514.52,0.001,17125.3561,21903.6839
0.1_10,0.9_30,4753.9,0.001,2364.7361,7143.0639
0.1_10,0.9_50,9805.14,0.001,7415.9761,12194.3039
0.1_10,0.9_70,14738.84,0.001,12349.6761,17128.0039
0.1_10,0.9_90,20641.14,0.001,18251.9761,23030.3039
0.1_30,0.1_50,5206.88,0.001,2817.7161,7596.0439
0.1_30,0.1_70,10023.7,0.001,7634.5361,12412.8639
0.1_30,0.1_90,14958.54,0.001,12569.3761,17347.7039
0.1_30,0.3_10,-5046.92,0.001,-7436.0839,-2657.7561
0.1_30,0.3_50,4997.32,0.001,2608.1561,7386.4839
0.1_30,0.3_70,9777.98,0.001,7388.8161,12167.1439
0.1_30,0.3_90,15224.02,0.001,12834.8561,17613.1839
0.1_30,0.5_10,-5098.38,0.001,-7487.5439,-2709.2161
0.1_30,0.5_50,5000.26,0.001,2611.0961,7389.4239
0.1_30,0.5_70,10807.16,0.001,8417.9961,13196.3239
0.1_30,0.5_90,14965.44,0.001,12576.2761,17354.6039
0.1_30,0.7_10,-5041.14,0.001,-7430.3039,-2651.9761
0.1_30,0.7_50,5698.04,0.001,3308.8761,8087.2039
0.1_30,0.7_70,10250.06,0.001,7860.8961,12639.2239
0.1_30,0.7_90,14768.04,0.001,12378.8761,17157.2039
0.1_30,0.9_10,-5008.1,0.001,-7397.2639,-2618.9361
0.1_30,0.9_50,5058.66,0.001,2669.4961,7447.8239
0.1_30,0.9_70,9992.36,0.001,7603.1961,12381.5239
0.1_30,0.9_90,15894.66,0.001,13505.4961,18283.8239
0.1_50,0.1_70,4816.82,0.001,2427.6561,7205.9839
