Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
33,opp,1250,991050.288,90,false,10,pdisp,62,0,155,1837,538,1800,2375,0,1162049,999473
27,opp,1250,954783.337,73,false,11,pdisp,62,0,155,1605,2,1800,1607,0,1040837,961532
33,opp,1250,940956.264,89,false,12,pdisp,62,0,155,1602,3,1800,1605,0,1121672,942864
31,opp,1250,1.00946427e6,86,false,13,pdisp,62,0,155,1726,2,1800,1728,0,1117800,1012710
26,opp,1250,985021.255,73,false,14,pdisp,62,0,155,1602,2,1800,1604,0,1117790,987762
30,opp,1250,957101.37,81,false,15,pdisp,62,1,155,1599,2,1800,1601,0,1092125,961675
32,opp,1250,983915.691,84,false,16,pdisp,62,1,155,1556,2,1800,1558,0,1130789,990828
32,opp,1250,991539.114,90,false,17,pdisp,62,0,155,1716,3,1800,1719,0,1132010,992812
30,opp,1250,974474.121,80,false,18,pdisp,62,0,155,1360,1,1800,1361,0,1082160,980761
34,opp,1250,970867.408,81,false,19,pdisp,62,0,155,1788,2,1800,1790,0,1068501,973562
33,opp,1250,944758.818,87,false,1,pdisp,62,0,155,1505,2,1800,1507,0,1085303,949005
33,opp,1250,968213.682,91,false,20,pdisp,62,0,155,1708,3,1800,1711,0,1102509,972605
27,opp,1250,966579.707,78,false,2,pdisp,62,0,155,1789,3,1800,1792,0,1053552,975979
31,opp,1250,982010.31,80,false,3,pdisp,62,0,155,1474,1,1800,1475,0,1050255,988670
28,opp,1250,971268.401,79,false,4,pdisp,62,0,155,1774,2,1800,1776,0,1075298,974186
30,opp,1250,957947.388,84,false,5,pdisp,62,0,155,1249,2,1800,1251,0,1077872,958455
28,opp,1250,961925.879,80,false,6,pdisp,62,0,155,1562,3,1800,1565,0,1036534,964088
26,opp,1250,962977.434,69,false,7,pdisp,62,0,155,1868,3,1800,1871,0,1060499,968567
31,opp,1250,983038.375,76,false,8,pdisp,62,0,155,1638,2,1800,1640,0,1074349,986315
30,opp,1250,947306.65,80,false,9,pdisp,62,0,155,1070,2,1800,1072,0,1060117,951731
