Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
35,opp,1250,991050.288,98,false,10,relax,62,0,155,1948,14000,1800,15948,0,1331759,999473
34,opp,1250,954783.337,92,false,11,relax,62,0,155,1775,11000,1800,12775,0,1237123,961532
33,opp,1250,940956.264,85,false,12,relax,62,0,155,1555,12000,1800,13555,0,1223050,942864
37,opp,1250,1.00946427e6,101,false,13,relax,62,0,155,1637,12000,1800,13637,0,1545354,1012710
30,opp,1250,985021.255,87,false,14,relax,62,0,155,1303,10000,1800,11303,0,1482353,987762
33,opp,1250,957101.37,82,false,15,relax,62,0,155,1646,12000,1800,13646,0,997477,961675
36,opp,1250,983915.691,101,false,16,relax,62,0,155,1610,11000,1800,12610,0,1265875,990828
30,opp,1250,991539.114,83,false,17,relax,62,0,155,1597,11000,1800,12597,0,1048328,992812
31,opp,1250,974474.121,85,false,18,relax,62,1,155,1260,11000,1800,12260,0,1250587,980761
32,opp,1250,970867.408,89,false,19,relax,62,0,155,1598,11000,1800,12598,0,1210379,973562
34,opp,1250,944758.818,88,false,1,relax,62,1,155,1585,12000,1800,13585,0,1252976,949005
31,opp,1250,968213.682,94,false,20,relax,62,5,155,1916,11000,1800,12916,0,1329100,972605
35,opp,1250,966579.707,103,false,2,relax,62,2,155,1111,11000,1800,12111,0,1360217,975979
35,opp,1250,982010.31,98,false,3,relax,62,0,155,1491,15000,1800,16491,0,1330789,988670
32,opp,1250,971268.401,93,false,4,relax,62,0,155,1554,13000,1800,14554,0,1328048,974186
32,opp,1250,957947.388,81,false,5,relax,62,0,155,1366,10000,1800,11366,0,1187906,958455
34,opp,1250,961925.879,94,false,6,relax,62,1,155,1929,10000,1800,11929,0,1281341,964088
35,opp,1250,962977.434,96,false,7,relax,62,0,155,1168,11000,1800,12168,0,1256394,968567
34,opp,1250,983038.375,91,false,8,relax,62,1,155,1409,13000,1800,14409,0,1172879,986315
35,opp,1250,947306.65,99,false,9,relax,62,0,155,2258,11000,1800,13258,0,1212887,951731
