Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
0,queue,1250,991050.288,0,true,10,relax,62,0,155,287,15000,1800,15287,8,2489038,999473
0,queue,1250,954783.337,0,true,11,relax,62,0,155,4,11000,1800,11004,13,2584868,961532
0,queue,1250,940956.264,0,true,12,relax,62,0,155,5,12000,1800,12005,11,2125052,942864
0,queue,1250,1.00946427e6,0,true,13,relax,62,0,155,4,12000,1800,12004,12,3250474,1012710
0,queue,1250,985021.255,0,true,14,relax,62,0,155,4,10000,1800,10004,3,2274837,987762
0,queue,1250,957101.37,0,true,15,relax,62,0,155,4,12000,1800,12004,9,1787072,961675
1,queue,1250,983915.691,3,false,16,relax,62,0,155,3,11000,1800,11003,0,2292114,990828
0,queue,1250,991539.114,0,true,17,relax,62,0,155,3,11000,1800,11003,11,2112116,992812
0,queue,1250,974474.121,0,true,18,relax,62,0,155,4,12000,1800,12004,1,2172754,980761
0,queue,1250,970867.408,0,true,19,relax,62,0,155,3,11000,1800,11003,0,2312348,973562
0,queue,1250,944758.818,0,true,1,relax,62,0,155,4,12000,1800,12004,5,2515028,949005
0,queue,1250,968213.682,0,true,20,relax,62,0,155,5,11000,1800,11005,8,2303489,972605
0,queue,1250,966579.707,0,true,2,relax,62,0,155,4,11000,1800,11004,14,2783033,975979
0,queue,1250,982010.31,0,true,3,relax,62,0,155,4,15000,1800,15004,6,2490469,988670
0,queue,1250,971268.401,0,true,4,relax,62,0,155,4,13000,1800,13004,13,2432173,974186
1,queue,1250,957947.388,3,false,5,relax,62,0,155,3,10000,1800,10003,0,2177737,958455
0,queue,1250,961925.879,0,true,6,relax,62,0,155,3,10000,1800,10003,11,2561847,964088
0,queue,1250,962977.434,0,true,7,relax,62,0,155,3,11000,1800,11003,4,2153157,968567
0,queue,1250,983038.375,0,true,8,relax,62,0,155,4,13000,1800,13004,2,1960872,986315
0,queue,1250,947306.65,0,true,9,relax,62,0,155,4,11000,1800,11004,7,2697276,951731
