Add,Alloc,B,BeatGurobi,BestBound,Constraints,CyclesLS,DeactivateImprovedTimes,DiffLS,DiffRepair,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,Repaired,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
33,opp,1250,false,991050.288,90,6,0,0.13637592985748737,0.36690886725250027,false,0.143653822125791,0.37224402316054983,10,421418,36.413862944903705,0,pdisp,62,0,1,true,155,0,1837,2375,9280,538,1800,4884,16539,1162049,1157301,999473,1578719
27,opp,1250,false,954783.337,73,5,0,0.08239818680663247,0.39317947594918656,false,0.08883851890731237,0.39743854087713726,11,536666,51.21469640939998,0,pdisp,62,0,1,true,155,0,1605,1607,9485,2,1800,4086,15178,1040837,1047875,961532,1584541
33,opp,1250,false,940956.264,89,4,0,0.1098380389065384,0.44299834175060804,false,0.11163914067626195,0.4441253464039855,12,633544,59.813161758111036,0,pdisp,62,0,1,true,155,0,1602,1605,9453,3,1800,6098,17156,1121672,1059205,942864,1692749
31,opp,1250,false,1.00946427e6,86,5,0,0.1275006461617989,0.4174645029025823,false,0.13029700180925302,0.4193315259782841,13,577752,49.77616955285604,0,pdisp,62,0,1,true,155,0,1726,1728,12530,2,1800,3835,18093,1117800,1160700,1012710,1738452
26,opp,1250,false,985021.255,73,5,0,0.07546422785002063,0.40052545558601527,false,0.07802953892175775,0.4021888186838363,14,579326,54.224358776361,0,pdisp,62,0,1,true,155,0,1602,1604,9518,2,1800,3068,14190,1117790,1068387,987762,1647713
30,opp,1250,false,957101.37,81,6,0,0.0828393901967984,0.3971298194978438,false,0.08720131421459465,0.39999700970623026,15,546626,52.13235609683987,0,pdisp,62,1,1,true,155,0,1599,1601,9012,2,1800,2632,13245,1092125,1048535,961675,1595161
32,opp,1250,false,983915.691,84,6,0,0.09326529659764464,0.43582683083482515,false,0.09959094590402319,0.43976266962296895,16,663505,60.719217601943,0,pdisp,62,1,1,true,155,0,1556,1558,11465,2,1800,5988,19011,1130789,1092743,990828,1756248
32,opp,1250,false,991539.114,90,5,0,0.09757243738848183,0.3847189281546563,false,0.09872944134337196,0.3855077810919868,17,513434,46.66915722028765,0,pdisp,62,0,1,true,155,0,1716,1719,10072,3,1800,2689,14480,1132010,1100157,992812,1613591
30,opp,1250,false,974474.121,80,5,0,0.10165743832121969,0.38402109284078184,false,0.10741599824134752,0.38796964386989313,18,500454,45.83982523391451,0,pdisp,62,0,1,true,155,0,1360,1361,8760,1,1800,3143,13264,1082160,1091745,980761,1592199
34,opp,1250,false,970867.408,81,4,0,0.10445600201634045,0.3468814653610942,false,0.10693465842714402,0.3486891447677367,19,403518,37.118141728864764,0,pdisp,62,0,1,true,155,0,1788,1790,6809,2,1800,3081,11680,1068501,1087118,973562,1490636
33,opp,1250,false,944758.818,87,4,0,0.08154288368851983,0.27852619415069524,false,0.08565238371755418,0.2817543215977254,1,282110,27.302905367477692,0,pdisp,62,0,1,true,155,0,1505,1507,6258,2,1800,2135,9900,1085303,1033260,949005,1315370
33,opp,1250,false,968213.682,91,4,0,0.10270497172326626,0.48227054551881005,false,0.10675626470344023,0.48460809742589817,20,794667,73.31349810412111,0,pdisp,62,0,1,true,155,0,1708,1711,11719,3,1800,7811,21241,1102509,1083930,972605,1878597
27,opp,1250,false,966579.707,78,5,0,0.07167295552019297,0.4156906015163634,false,0.08061333015006686,0.42131786935614424,2,618981,58.87593916663734,0,pdisp,62,0,1,true,155,0,1789,1792,10007,3,1800,4346,16145,1053552,1051331,975979,1670312
31,opp,1250,false,982010.31,80,5,0,0.10655917700099495,0.46896233154471284,false,0.11257740240939026,0.4725394060490823,3,755183,68.24434048113704,0,pdisp,62,0,1,true,155,0,1474,1475,13284,1,1800,8149,22908,1050255,1106587,988670,1861770
28,opp,1250,false,971268.401,79,5,0,0.09682270232083373,0.38360135860211786,false,0.09952763667683093,0.38544741680839867,4,501827,46.524868327243766,0,pdisp,62,0,1,true,155,0,1774,1776,9373,2,1800,3471,14620,1075298,1078621,974186,1580448
30,opp,1250,false,957947.388,84,4,0,0.10652393994365757,0.3228548114183979,false,0.10699713813219774,0.3232134375651301,5,342709,31.947487056340574,0,pdisp,62,0,1,true,155,0,1249,1251,7197,2,1800,2817,11265,1077872,1072726,958455,1415435
28,opp,1250,false,961925.879,80,5,0,0.08238026345846342,0.3447426514566591,false,0.08443817197136987,0.34621217049816766,6,420672,40.03959491357649,0,pdisp,62,0,1,true,155,0,1562,1565,7872,3,1800,3295,12732,1036534,1050640,964088,1471312
26,opp,1250,false,962977.434,69,4,0,0.08637649060782653,0.3780420693167027,false,0.09164897966113844,0.3816313666010183,7,497149,46.89474389183295,0,pdisp,62,0,1,true,155,0,1868,1871,9331,3,1800,3720,14922,1060499,1060138,968567,1557287
31,opp,1250,false,983038.375,76,5,0,0.1308384201820779,0.37496158128576107,false,0.13372585123754283,0.37703801377306945,8,443218,39.05730492629026,0,pdisp,62,0,1,true,155,0,1638,1640,8639,2,1800,3354,13633,1074349,1134789,986315,1578007
30,opp,1250,false,947306.65,80,4,0,0.11998738785220855,0.4392108314752924,false,0.1240783377115239,0.4418177945328814,9,615631,56.92396742663179,0,pdisp,62,0,1,true,155,0,1070,1072,10571,2,1800,5005,16648,1060117,1081497,951731,1697128
