Add,Alloc,B,BeatGurobi,BestBound,Constraints,CyclesLS,DeactivateImprovedTimes,DiffLS,DiffRepair,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,Repaired,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
35,opp,1250,false,991050.288,98,5,0,0.11239299806133224,0.5097955259969885,false,0.11987299816790128,0.5139265541544664,10,912859,81.0687272375272,0,relax,62,0,1,true,155,0,1919,16919,9501,15000,1800,10765,37185,1331759,1126031,999473,2038890
34,opp,1250,false,954783.337,92,6,0,0.07783875230892284,0.5351223556884578,false,0.08431108551502162,0.5383851722745854,11,1025661,98.36644307917759,0,relax,62,0,1,true,155,0,1419,12419,8584,11000,1800,8793,29796,1237123,1042694,961532,2068355
33,opp,1250,false,940956.264,85,4,0,0.13985369017677052,0.4919065145579272,false,0.1415940600291744,0.4929345612683153,12,759523,69.28898607602673,0,relax,62,0,1,true,155,0,2129,14129,6653,12000,1800,8116,28898,1223050,1096167,942864,1855690
37,opp,1250,false,1.00946427e6,101,5,0,0.12796795376303902,0.5971607812624928,false,0.13076281169219217,0.5984518787508487,13,1352609,116.47148680555436,0,relax,62,0,1,true,155,0,1161,13161,13071,12000,1800,7502,33734,1545354,1161322,1012710,2513931
30,opp,1250,false,985021.255,87,5,0,0.10480720169438838,0.4576124695725802,false,0.1072910947637635,0.4591174332298998,14,717730,65.04671440366067,0,relax,62,0,1,true,155,0,1685,11685,7195,10000,1800,4458,23338,1482353,1103407,987762,1821137
33,opp,1250,false,957101.37,82,4,0,0.09322137778867369,0.23590110712600132,false,0.0975339261131122,0.2395350849453429,15,198034,18.67294020027533,0,relax,62,0,1,true,155,0,1642,13642,5162,12000,1800,3034,21838,997477,1060540,961675,1258574
36,opp,1250,false,983915.691,101,4,0,0.09423758314166718,0.4596732282412555,false,0.10055644948972317,0.4634427075125003,16,739841,67.63234105726582,0,relax,62,0,1,true,155,0,2002,13002,7245,11000,1800,6447,26694,1265875,1093916,990828,1833757
30,opp,1250,false,991539.114,83,5,0,0.08132336693507344,0.3344225038631587,false,0.08250120385158487,0.3352758419339593,17,410957,38.026997366516824,0,relax,62,0,1,true,155,0,1638,11638,6943,10000,1800,4271,22852,1048328,1080698,992812,1491655
31,opp,1250,false,974474.121,85,5,0,0.10653906769547512,0.43196516130676377,false,0.1122663353709085,0.4356063810317007,18,628876,57.28981242769038,0,relax,62,1,1,true,155,0,1276,13276,7513,12000,1800,5199,25988,1250587,1097710,980761,1726586
32,opp,1250,false,970867.408,89,5,0,0.0997956522945196,0.45280420687236395,false,0.10228720746377677,0.4543187168949361,19,697694,64.51229322508762,0,relax,62,0,1,true,155,0,2085,13085,8572,11000,1800,5186,26843,1210379,1081490,973562,1779184
34,opp,1250,false,944758.818,88,5,0,0.13125568136566987,0.5109479572006994,false,0.13514274886098063,0.513136147970187,1,848112,77.63841935138372,0,relax,62,1,1,true,155,0,1567,13567,7921,12000,1800,5732,27220,1252976,1092387,949005,1940499
31,opp,1250,false,968213.682,94,4,0,0.08187038447777989,0.488902096299893,false,0.0860157457569999,0.4912097067113967,20,843639,79.63869718020679,0,relax,62,5,1,true,155,0,1521,12521,8144,11000,1800,5698,26363,1329100,1059333,972605,1902972
35,opp,1250,false,966579.707,103,5,0,0.1053951516140357,0.5838134932615566,false,0.11401076023799196,0.5878216316738393,2,1254091,114.95287182584894,0,relax,62,2,1,true,155,0,1529,12529,10472,11000,1800,10970,33971,1360217,1090961,975979,2345052
35,opp,1250,false,982010.31,98,5,0,0.13785345418459408,0.4959561065238626,false,0.14366088106080288,0.49935135071752085,3,814722,71.0459261532988,0,relax,62,0,1,true,155,0,1498,16498,8093,15000,1800,8864,33455,1330789,1146754,988670,1961476
32,opp,1250,false,971268.401,93,5,0,0.1286109006600362,0.47473352129322444,false,0.1312206322357776,0.4763066469109283,4,736682,65.8946714980469,0,relax,62,0,1,true,155,0,1924,13924,8726,12000,1800,5353,28003,1328048,1117969,974186,1854651
32,opp,1250,false,957947.388,81,4,0,0.09753739016462595,0.47606828869910695,false,0.09801534776336947,0.47634577071322015,5,767307,72.24813661204243,0,relax,62,0,1,true,155,0,1378,11378,7510,10000,1800,9837,28725,1187906,1062044,958455,1829351
34,opp,1250,false,961925.879,94,5,0,0.10587462798412609,0.5258309987723881,false,0.10787984663996286,0.526894398332494,6,954969,88.56681261343644,0,relax,62,1,1,true,155,0,2023,12023,9993,10000,1800,7568,29584,1281341,1078247,964088,2033216
35,opp,1250,false,962977.434,96,5,0,0.11951015970444497,0.428127001933665,false,0.12459143552187572,0.4314272608381183,7,593643,53.96597553525716,0,relax,62,0,1,true,155,0,1100,12100,6672,11000,1800,4736,23508,1256394,1100032,968567,1693675
34,opp,1250,false,983038.375,91,6,0,0.10581064652089206,0.37214939599818964,false,0.10878122203717588,0.37423517081185204,8,467912,42.42072043567383,0,relax,62,1,1,true,155,0,1367,14367,6716,13000,1800,4988,26071,1172879,1103027,986315,1570939
35,opp,1250,false,947306.65,99,4,0,0.10616535167589712,0.5336000862495651,false,0.11032055658811782,0.5357682581998344,9,975817,91.64554322846278,0,relax,62,0,1,true,155,0,1750,12750,8437,11000,1800,9379,30566,1212887,1064773,951731,2040590
