Add,Alloc,B,BeatGurobi,BestBound,Constraints,CyclesLS,DeactivateImprovedTimes,DiffLS,DiffRepair,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,Repaired,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
35,opp,1250,false,991050.288,98,5,0,0.13605940821712248,0.5097955259969885,false,0.143339967861752,0.5139265541544664,10,882013,76.24086225242614,0,relax,62,0,1,true,155,0,1948,15948,6048,14000,1800,10626,32622,1331759,1156877,999473,2038890
34,opp,1250,false,954783.337,92,5,0,0.07795813119888303,0.5351223556884578,false,0.08442962652553769,0.5383851722745854,11,1025526,98.3407634425203,0,relax,62,0,1,true,155,0,1775,12775,5287,11000,1800,8012,26074,1237123,1042829,961532,2068355
33,opp,1250,false,940956.264,85,5,0,0.14539607496220347,0.4919065145579272,false,0.1471252306766394,0.4929345612683153,12,752414,68.1981661886962,0,relax,62,0,1,true,155,0,1555,13555,4573,12000,1800,8900,27028,1223050,1103276,942864,1855690
37,opp,1250,false,1.00946427e6,101,5,0,0.08860274199441666,0.5971607812624928,false,0.0915237652115533,0.5984518787508487,13,1402769,126.24342805099526,0,relax,62,0,1,true,155,0,1637,13637,7709,12000,1800,7038,28384,1545354,1111162,1012710,2513931
30,opp,1250,false,985021.255,87,4,0,0.12332577448600578,0.4576124695725802,false,0.1257582840381108,0.4591174332298998,14,694422,61.63244476198506,0,relax,62,0,1,true,155,0,1303,11303,4598,10000,1800,4819,20720,1482353,1126715,987762,1821137
33,opp,1250,false,957101.37,82,4,0,0.07664248995197302,0.23590110712600132,false,0.08103388580678984,0.2395350849453429,15,217076,20.842670845263264,0,relax,62,0,1,true,155,0,1646,13646,3748,12000,1800,3072,20466,997477,1041498,961675,1258574
36,opp,1250,false,983915.691,101,6,0,0.09319227020422732,0.4596732282412555,false,0.0995184289643117,0.4634427075125003,16,741102,67.82580045851618,0,relax,62,0,1,true,155,0,1610,12610,6426,11000,1800,6830,25866,1265875,1092655,990828,1833757
30,opp,1250,false,991539.114,83,5,0,0.06264209373465765,0.3344225038631587,false,0.06384388194418224,0.3352758419339593,17,432495,40.83377393406095,0,relax,62,0,1,true,155,0,1597,12597,4863,11000,1800,4275,21735,1048328,1059160,992812,1491655
31,opp,1250,false,974474.121,85,4,0,0.11964838392324982,0.43196516130676377,false,0.12529161819513557,0.4356063810317007,18,612530,54.981975771415435,0,relax,62,1,1,true,155,0,1260,12260,4740,11000,1800,5122,22122,1250587,1114056,980761,1726586
32,opp,1250,false,970867.408,89,6,0,0.11770042150118222,0.45280420687236395,false,0.12014242045535897,0.4543187168949361,19,675747,61.24019767326997,0,relax,62,0,1,true,155,0,1598,12598,5823,11000,1800,5529,23950,1210379,1103437,973562,1779184
34,opp,1250,false,944758.818,88,4,0,0.14121624495388022,0.5109479572006994,false,0.14505874538598465,0.513136147970187,1,835442,75.60171104295978,0,relax,62,1,1,true,155,0,1585,13585,4451,12000,1800,5730,23766,1252976,1105057,949005,1940499
31,opp,1250,false,968213.682,94,5,0,0.08694105233117039,0.488902096299893,false,0.09106351951153566,0.4912097067113967,20,837756,78.64658435472242,0,relax,62,5,1,true,155,0,1916,12916,5841,11000,1800,5432,24189,1329100,1065216,972605,1902972
35,opp,1250,false,966579.707,103,5,0,0.10801315708902604,0.5838134932615566,false,0.11660355266994035,0.5878216316738393,2,1250889,114.32382560916427,0,relax,62,2,1,true,155,0,1111,12111,5722,11000,1800,11568,29401,1360217,1094163,975979,2345052
35,opp,1250,false,982010.31,98,4,0,0.14055301141559656,0.4959561065238626,false,0.14634225405005055,0.49935135071752085,3,811120,70.51034636234348,0,relax,62,0,1,true,155,0,1491,16491,5621,15000,1800,8929,31041,1330789,1150356,988670,1961476
32,opp,1250,false,971268.401,93,4,0,0.12330194681600685,0.47473352129322444,false,0.12592757822856215,0.4763066469109283,4,743452,66.9053877838263,0,relax,62,0,1,true,155,0,1554,14554,5779,13000,1800,5639,25972,1328048,1111199,974186,1854651
32,opp,1250,false,957947.388,81,5,0,0.12720462890112771,0.47606828869910695,false,0.1276668742897106,0.47634577071322015,5,731207,66.58571189206516,0,relax,62,0,1,true,155,0,1366,11366,5140,10000,1800,10043,26549,1187906,1098144,958455,1829351
34,opp,1250,false,961925.879,94,5,0,0.12667730138930786,0.5258309987723881,false,0.12863586673442456,0.526894398332494,6,929285,84.17962716872704,0,relax,62,1,1,true,155,0,1929,11929,5973,10000,1800,7536,25438,1281341,1103931,964088,2033216
35,opp,1250,false,962977.434,96,5,0,0.10913512524132628,0.428127001933665,false,0.11427627501676291,0.4314272608381183,7,606454,55.78019556281566,0,relax,62,0,1,true,155,0,1168,12168,4958,11000,1800,4654,21780,1256394,1087221,968567,1693675
34,opp,1250,false,983038.375,91,5,0,0.0967654199111523,0.37214939599818964,false,0.09976604446414361,0.37423517081185204,8,478958,43.86138586660391,0,relax,62,1,1,true,155,0,1409,14409,4774,13000,1800,5008,24191,1172879,1091981,986315,1570939
35,opp,1250,false,947306.65,99,5,0,0.1154505320879223,0.5336000862495651,false,0.11956257261025138,0.5357682581998344,9,964640,89.65472373251545,0,relax,62,0,1,true,155,0,2258,13258,5173,11000,1800,8815,27246,1212887,1075950,951731,2040590
