Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
17,opp,625,467610.276,44,false,10,pdisp,32,0,78,680,550,1800,1230,0,496288,471810
15,opp,625,466413.292,40,false,11,pdisp,32,0,78,246,0,1800,246,0,510934,468195
17,opp,625,461040.141,43,false,12,pdisp,32,0,78,204,0,1800,204,0,500278,461823
16,opp,625,468091.441,46,false,13,pdisp,32,0,78,239,0,1800,239,0,516457,468480
17,opp,625,459097.84,49,false,14,pdisp,32,0,78,227,0,1800,227,0,497986,459301
16,opp,625,479672.397,45,false,15,pdisp,32,0,78,238,0,1800,238,0,537294,483950
18,opp,625,461967.277,47,false,16,pdisp,32,0,78,201,0,1800,201,0,540921,462365
15,opp,625,462126.537,44,false,17,pdisp,32,1,78,199,0,1800,199,0,552434,462745
15,opp,625,454556.375,43,false,18,pdisp,32,0,78,169,1,1800,170,0,509356,455692
16,opp,625,458774.946,42,false,19,pdisp,32,0,78,234,0,1800,234,0,516517,461881
15,opp,625,462154.445,42,false,1,pdisp,32,0,78,214,1,1800,215,0,511090,464274
17,opp,625,464547.884,50,false,20,pdisp,32,0,78,383,0,1800,383,0,550654,465070
17,opp,625,474267.15,41,false,2,pdisp,32,0,78,121,0,1800,121,0,513806,475106
14,opp,625,451740.158,38,false,3,pdisp,32,0,78,115,0,1800,115,0,518767,451907
18,opp,625,460520.424,47,false,4,pdisp,32,0,78,120,1,1800,121,0,499125,460877
13,opp,625,468298.942,37,false,5,pdisp,32,0,78,147,0,1800,147,0,518879,469190
16,opp,625,490305.188,49,false,6,pdisp,32,0,78,131,0,1800,131,0,572353,491611
15,opp,625,453366.406,44,false,7,pdisp,32,0,78,151,0,1800,151,0,493563,454550
17,opp,625,460970.188,41,false,8,pdisp,32,0,78,148,0,1800,148,0,490353,462113
17,opp,625,487836.913,43,false,9,pdisp,32,0,78,165,0,1800,165,0,513913,488971
