Add,Alloc,B,BeatGurobi,BestBound,Constraints,CyclesLS,DeactivateImprovedTimes,DiffLS,DiffRepair,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,Repaired,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
17,opp,625,false,467610.276,44,0,0,100.0,100.0,false,100.0,100.0,10,0,0.0,0,pdisp,32,0,0,false,78,0,680,1230,0,550,1800,2128,3358,496288,10000000,471810,10000000
15,opp,625,false,466413.292,40,0,0,100.0,100.0,false,100.0,100.0,11,0,0.0,0,pdisp,32,0,0,false,78,0,246,246,0,0,1800,1465,1711,510934,10000000,468195,10000000
17,opp,625,false,461040.141,43,6,0,0.1255207228769655,0.36085169397697076,false,0.12700309593419576,0.36193514587023917,12,194448,36.81946253824947,0,pdisp,32,0,1,true,78,0,204,204,590,0,1800,456,1250,500278,528112,461823,722560
16,opp,625,false,468091.441,46,4,0,0.1446677755118063,0.4138372837924407,false,0.14537719114068032,0.41432344926129083,13,251515,45.92061228700223,0,pdisp,32,0,1,true,78,0,239,239,515,0,1800,655,1409,516457,547717,468480,799232
17,opp,625,false,459097.84,49,5,0,0.11594850069580649,0.4414537008324061,false,0.11633953816926859,0.4417007594413333,14,302774,58.277210075816924,0,pdisp,32,0,1,true,78,0,227,227,673,0,1800,528,1428,497986,519541,459301,822315
16,opp,625,false,479672.397,45,6,0,0.06501520473259377,0.46894721075207696,false,0.07327947534978614,0.473641152284147,15,393701,76.06249589452901,0,pdisp,32,0,1,true,78,0,238,238,735,0,1800,474,1447,537294,517602,483950,911303
18,opp,625,false,461967.277,47,4,0,0.07016146710024877,0.4291282681917405,false,0.07096130742298186,0.42961932789087426,16,312675,62.880465276227596,0,pdisp,32,0,1,true,78,0,201,201,500,0,1800,388,1089,540921,497253,462365,809928
15,opp,625,false,462126.537,44,6,0,0.08437132087418503,0.4961021679546917,false,0.08559506712704174,0.4967756320977948,17,412946,81.70919200213699,0,pdisp,32,1,1,true,78,0,199,199,641,0,1800,577,1417,552434,505385,462745,918331
15,opp,625,false,454556.375,43,5,0,0.07650716190692358,0.39660147058628803,false,0.07880858820859105,0.3981051933967948,18,261765,53.04857288770357,0,pdisp,32,0,1,true,78,0,169,170,620,1,1800,447,1237,509356,493444,455692,755209
16,opp,625,false,458774.946,42,4,0,0.1579903964298345,0.4676251115163223,false,0.16365273650705683,0.4712052223064918,19,319040,58.16102933938083,0,pdisp,32,0,1,true,78,0,234,234,492,0,1800,523,1249,516517,548546,461881,867586
15,opp,625,false,462154.445,42,4,0,0.10755325570040714,0.5456134512997182,false,0.11162755225613483,0.54768786701378,1,501534,96.4069462118387,0,pdisp,32,0,1,true,78,0,214,215,589,1,1800,747,1551,511090,520226,464274,1021760
17,opp,625,false,464547.884,50,5,0,0.05769484038942751,0.44118283187542057,false,0.058752729740955696,0.44181019417475725,20,338695,68.62494807970904,0,pdisp,32,0,2,true,78,0,383,383,565,0,1800,2583,3531,550654,493545,465070,832240
17,opp,625,false,474267.15,41,0,0,100.0,100.0,false,100.0,100.0,2,0,0.0,0,pdisp,32,0,0,false,78,0,121,121,0,0,1800,2106,2227,513806,10000000,475106,10000000
14,opp,625,false,451740.158,38,4,0,0.1501545833396019,0.39995671363547036,false,0.15046834238517204,0.4001782468756805,3,221372,41.630684980968574,0,pdisp,32,0,1,true,78,0,115,115,329,0,1800,321,765,518767,531752,451907,753124
18,opp,625,false,460520.424,47,5,0,0.10852926100370416,0.2992595408240839,false,0.10921898314264437,0.2998016968222594,4,140715,27.218391249262552,0,pdisp,32,0,1,true,78,0,120,121,433,1,1800,233,787,499125,516985,460877,657700
13,opp,625,false,468298.942,37,4,0,0.07847469777764685,0.3422428706411446,false,0.08022480432882581,0.3434920442215113,5,204173,40.10114996710171,0,pdisp,32,0,2,true,78,0,147,147,497,0,1800,2049,2693,518879,509145,469190,713318
16,opp,625,false,490305.188,49,5,0,0.06501570951471673,0.48174663079595864,false,0.06749920501487264,0.48312320997857877,6,422796,80.4106535614573,0,pdisp,32,0,1,true,78,0,131,131,685,0,1800,402,1218,572353,525796,491611,948592
15,opp,625,false,453366.406,44,4,0,0.09333891830974678,0.338155747073718,false,0.09569975565728188,0.33987911059081843,7,185448,36.990096640038296,0,pdisp,32,0,1,true,78,0,151,151,387,0,1800,322,860,493563,501345,454550,686793
17,opp,625,false,460970.188,41,0,0,100.0,100.0,false,100.0,100.0,8,0,0.0,0,pdisp,32,0,0,false,78,0,148,148,0,0,1800,1585,1733,490353,10000000,462113,10000000
17,opp,625,false,487836.913,43,6,0,0.053606958433655656,0.31816140871466503,false,0.05580195986591002,0.319742820050869,9,200468,38.8001579350763,0,pdisp,32,0,1,true,78,0,165,165,700,0,1800,351,1216,513913,516668,488971,717136
