Add,Alloc,B,BeatGurobi,BestBound,Constraints,CyclesLS,DeactivateImprovedTimes,DiffLS,DiffRepair,Factible,GapLS,GapRepair,ID,ImproveAbsLS,ImproveRelLS,InterchangeImprovedTimes,Loc,P,Remove,RepairAlgorithm,Repaired,S,SimpleImprovedTimes,TimeAlloc,TimeCons,TimeLS,TimeLoc,TimeOptim,TimeRepair,TimeTotal,ValueCons,ValueLS,ValueOptim,ValueRepair
1,queue,625,false,467610.276,3,0,0,100.0,100.0,false,100.0,100.0,10,0,0.0,0,relax,32,0,0,false,78,0,280,1280,0,1000,1800,481,1761,978876,10000000,471810,10000000
3,queue,625,false,466413.292,7,0,0,100.0,100.0,false,100.0,100.0,11,0,0.0,0,relax,32,0,0,false,78,0,1,1001,0,1000,1800,626,1627,1131310,10000000,468195,10000000
2,queue,625,false,461040.141,6,0,0,100.0,100.0,false,100.0,100.0,12,0,0.0,0,relax,32,0,0,false,78,0,1,1001,0,1000,1800,505,1506,947457,10000000,461823,10000000
2,queue,625,false,468091.441,5,3,0,0.27148661950695346,0.46971712134092025,false,0.2720908511296716,0.47015693987116464,13,240390,37.38202944346044,0,relax,32,0,1,true,78,0,1,1001,514,1000,1800,120,1635,860036,643063,468480,883453
2,queue,625,false,459097.84,6,7,0,0.25703854559101136,0.4536267778206025,false,0.2573671755070745,0.45386845198159487,14,222433,35.98057595967668,0,relax,32,0,1,true,78,0,1,1001,600,1000,1800,168,1769,806768,618203,459301,840636
1,queue,625,false,479672.397,3,2,0,0.4449446320944609,0.5651079928648775,false,0.44985073087929167,0.5689519754134822,15,240910,27.63062065959777,0,relax,32,0,1,true,78,0,1,1001,424,1000,1800,242,1667,1044395,871895,483950,1112805
4,queue,625,false,461967.277,10,0,0,100.0,100.0,false,100.0,100.0,16,0,0.0,0,relax,32,0,0,false,78,0,1,1001,0,1000,1800,510,1511,904140,10000000,462365,10000000
1,queue,625,false,462126.537,3,3,0,0.29154948337285796,0.5304969734356325,false,0.2924963340830002,0.5311244686010435,17,332427,50.893706013206184,0,relax,32,0,1,true,78,0,1,1001,338,1000,1800,114,1453,944520,653179,462745,985606
2,queue,625,false,454556.375,6,0,0,100.0,100.0,false,100.0,100.0,18,0,0.0,0,relax,32,0,0,false,78,0,1,1001,0,1000,1800,593,1594,1270206,10000000,455692,10000000
2,queue,625,false,458774.946,6,4,0,0.2113765196011474,0.4679170381839085,false,0.2166798490643355,0.4714951858277404,19,282382,48.21438328097255,0,relax,32,0,1,true,78,0,2,1002,392,1000,1800,58,1452,853542,585680,461881,868062
2,queue,625,false,462154.445,4,4,0,0.2246243568096758,0.5431561090425323,false,0.22816418742996092,0.5452417432871773,1,417491,69.7244197717666,0,relax,32,0,1,true,78,0,1,1001,409,1000,1800,201,1611,961239,598773,464274,1016264
2,queue,625,false,464547.884,4,2,0,0.4411116478836341,0.5413560602399776,false,0.4417390900984697,0.5418709619520892,20,181877,21.85669615710931,0,relax,32,0,1,true,78,0,2,1002,403,1000,1800,135,1540,965154,832134,465070,1014011
1,queue,625,false,474267.15,3,3,0,0.38017794708552943,0.6465934373282176,false,0.3812723086155612,0.6472174140725594,2,577841,75.3849866931065,0,relax,32,0,1,true,78,0,1,1001,283,1000,1800,106,1390,1302948,766520,475106,1344361
1,queue,625,false,451740.158,3,3,0,0.3344090044126571,0.6300335412503346,false,0.33465473756767744,0.6301701311768254,3,542525,79.90576708947266,0,relax,32,0,1,true,78,0,1,1001,337,1000,1800,88,1426,1187539,678956,451907,1221481
1,queue,625,false,460520.424,3,5,0,0.3946963348997502,0.5517972766119668,false,0.3951646523894205,0.5521440466488634,4,266880,35.05131350489494,0,relax,32,0,1,true,78,0,1,1001,643,1000,1800,76,1720,1005021,761398,460877,1028278
1,queue,625,false,468298.942,3,3,0,0.2347663557498944,0.5230058995220808,false,0.23621964239406462,0.5239117786098355,5,370506,60.428324686487265,0,relax,32,0,1,true,78,0,1,1001,336,1000,1800,71,1408,971240,613133,469190,983639
1,queue,625,false,490305.188,3,3,0,0.2501906510810679,0.4912012701054316,false,0.25218228683683924,0.4925527359739355,6,310571,47.36855751866855,0,relax,32,0,1,true,78,0,1,1001,559,1000,1800,79,1639,942866,655648,491611,966219
1,queue,625,false,453366.406,3,3,0,0.2405281132415941,0.5624998195329802,false,0.24250568747619078,0.5636390178359165,7,440463,73.59350250957381,0,relax,32,0,1,true,78,0,1,1001,331,1000,1800,148,1480,1004516,598508,454550,1038971
3,queue,625,false,460970.188,7,0,0,100.0,100.0,false,100.0,100.0,8,0,0.0,0,relax,32,0,0,false,78,0,1,1001,0,1000,1800,589,1590,752980,10000000,462113,10000000
2,queue,625,false,487836.913,4,4,0,0.3160517761328477,0.5531797849835745,false,0.31763808041134445,0.5542161102404657,9,379411,53.07011654385641,0,relax,32,0,1,true,78,0,1,1001,252,1000,1800,327,1580,1034784,714924,488971,1094335
