Add,Alloc,B,BestBound,Constraints,Factible,ID,Loc,P,Remove,S,TimeAlloc,TimeLoc,TimeOptim,TotalTimeCons,Unassigned,ValueCons,ValueOptim
0,queue,2500,891652.122,0,true,10,pdisp,125,0,325,484,549,7200,1033,105,2905259,892898
0,queue,2500,881117.835,0,true,1,pdisp,125,0,325,28,8,7200,36,89,2523417,883693
0,queue,2500,892105.537,0,true,2,pdisp,125,0,325,16,5,7200,21,109,2884117,893408
0,queue,2500,882275.835,0,true,3,pdisp,125,0,325,19,7,7200,26,104,2430132,882602
0,queue,2500,910961.688,0,true,4,pdisp,125,0,325,18,5,7200,23,101,2498472,913347
0,queue,2500,893657.944,0,true,5,pdisp,125,0,325,31,8,7200,39,130,2521261,895581
0,queue,2500,894518.511,0,true,6,pdisp,125,0,325,55,7,7200,62,105,2886165,896157
0,queue,2500,892487.885,0,true,7,pdisp,125,0,325,26,8,7200,34,99,2732635,893684
0,queue,2500,892662.594,0,true,8,pdisp,125,0,325,17,6,7200,23,101,2491862,895125
0,queue,2500,876485.604,0,true,9,pdisp,125,0,325,25,10,7200,35,119,2879588,877510
