Alloc,B,BeatGurobi,BestBound,Diff%,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,false,467610.276,0.06736642353080709,0.07566807804068075,10,pdisp,32,78,1800,11583,505890,471810,0.1,0.1,25
queue,625,false,467610.276,0.06446860444596023,0.07279605332296958,10,pdisp,32,78,1800,7802,504323,471810,0.1,0.1,50
queue,625,false,467610.276,0.06445190892975408,0.07277950641862012,10,pdisp,32,78,1800,11456,504314,471810,0.1,0.1,75
queue,625,false,467610.276,0.05148566603674963,0.059928679988741886,10,pdisp,32,78,1800,14561,497420,471810,0.1,0.1,100
queue,625,false,467610.276,0.07818822301979762,0.08639354940810308,10,pdisp,32,78,1800,3861,511829,471810,0.3,0.1,25
queue,625,false,467610.276,0.07133156185414821,0.07959792146442277,10,pdisp,32,78,1800,7456,508050,471810,0.3,0.1,50
queue,625,false,467610.276,0.062164568938785573,0.07051252673509789,10,pdisp,32,78,1800,10502,503084,471810,0.3,0.1,75
queue,625,false,467610.276,0.06211982666083569,0.0704681827217429,10,pdisp,32,78,1800,13858,503060,471810,0.3,0.1,100
queue,625,false,467610.276,0.07768907168772676,0.08589884117352681,10,pdisp,32,78,1800,3885,511552,471810,0.5,0.1,25
queue,625,false,467610.276,0.06304921568277004,0.071389298969932,10,pdisp,32,78,1800,8486,503559,471810,0.5,0.1,50
queue,625,false,467610.276,0.07116702102527758,0.07943484526340654,10,pdisp,32,78,1800,11284,507960,471810,0.5,0.1,75
queue,625,false,467610.276,0.07035809567345394,0.0786331204016409,10,pdisp,32,78,1800,14690,507518,471810,0.5,0.1,100
queue,625,false,467610.276,0.06183449425042801,0.07018539014171604,10,pdisp,32,78,1800,3824,502907,471810,0.7,0.1,25
queue,625,false,467610.276,0.06672996469157048,0.0750372845147316,10,pdisp,32,78,1800,7330,505545,471810,0.7,0.1,50
queue,625,false,467610.276,0.05796638460831959,0.06635171171746776,10,pdisp,32,78,1800,11405,500842,471810,0.7,0.1,75
queue,625,false,467610.276,0.05365072870157534,0.06207447077371136,10,pdisp,32,78,1800,14761,498558,471810,0.7,0.1,100
queue,625,false,467610.276,0.07691856199559795,0.08513519002201024,10,pdisp,32,78,1800,3940,511125,471810,0.1,0.3,25
queue,625,false,467610.276,0.04883727962744564,0.057303867670628054,10,pdisp,32,78,1800,7552,496035,471810,0.1,0.3,50
queue,625,false,467610.276,0.06223912991628306,0.07058642402270611,10,pdisp,32,78,1800,11744,503124,471810,0.1,0.3,75
queue,625,false,467610.276,0.049197638964739644,0.05766101934009505,10,pdisp,32,78,1800,14395,496223,471810,0.1,0.3,100
queue,625,false,467610.276,0.07396539710890195,0.08220831215222914,10,pdisp,32,78,1800,3567,509495,471810,0.3,0.3,25
queue,625,false,467610.276,0.05559047363595966,0.06399694944973995,10,pdisp,32,78,1800,7449,499582,471810,0.3,0.3,50
queue,625,false,467610.276,0.06687024470898163,0.07517631585713408,10,pdisp,32,78,1800,10255,505621,471810,0.3,0.3,75
queue,625,false,467610.276,0.072357710789364,0.08061493633653942,10,pdisp,32,78,1800,14446,508612,471810,0.3,0.3,100
