instance,threads,milliseconds,value
inst_10_625_78_32.jld2,1,40925,501466
inst_10_625_78_32.jld2,2,35703,507522
inst_10_625_78_32.jld2,3,27754,500646
inst_10_625_78_32.jld2,4,25634,503606
inst_10_625_78_32.jld2,5,19985,506407
inst_10_625_78_32.jld2,6,19685,500847
inst_10_625_78_32.jld2,7,18264,504031
inst_10_625_78_32.jld2,8,16522,509480
inst_10_625_78_32.jld2,9,17091,506911
inst_10_625_78_32.jld2,10,15578,502249
inst_10_625_78_32.jld2,11,17102,505856
inst_10_625_78_32.jld2,12,17171,501710
inst_10_625_78_32.jld2,13,16439,504917
inst_10_625_78_32.jld2,14,14941,506073
inst_10_625_78_32.jld2,15,15072,507579
inst_10_625_78_32.jld2,16,15477,505168
inst_11_625_78_32.jld2,1,35136,508913
inst_11_625_78_32.jld2,2,28298,520076
inst_11_625_78_32.jld2,3,22491,514786
inst_11_625_78_32.jld2,4,20886,518399
inst_11_625_78_32.jld2,5,17760,509661
inst_11_625_78_32.jld2,6,16585,515225
inst_11_625_78_32.jld2,7,14830,510192
inst_11_625_78_32.jld2,8,16642,505219
inst_11_625_78_32.jld2,9,14380,521536
inst_11_625_78_32.jld2,10,14795,506880
inst_11_625_78_32.jld2,11,14686,507376
inst_11_625_78_32.jld2,12,14838,501541
inst_11_625_78_32.jld2,13,13990,523815
inst_11_625_78_32.jld2,14,14026,512845
inst_11_625_78_32.jld2,15,13557,519113
inst_11_625_78_32.jld2,16,13208,511756
inst_12_625_78_32.jld2,1,37868,482077
inst_12_625_78_32.jld2,2,33557,492628
inst_12_625_78_32.jld2,3,23391,483100
inst_12_625_78_32.jld2,4,24746,491289
inst_12_625_78_32.jld2,5,19991,492992
inst_12_625_78_32.jld2,6,18968,490738
inst_12_625_78_32.jld2,7,17733,485030
inst_12_625_78_32.jld2,8,16994,481833
inst_12_625_78_32.jld2,9,15462,492252
inst_12_625_78_32.jld2,10,15289,487018
inst_12_625_78_32.jld2,11,16009,488958
inst_12_625_78_32.jld2,12,15552,490683
inst_12_625_78_32.jld2,13,15105,485272
inst_12_625_78_32.jld2,14,14581,487810
inst_12_625_78_32.jld2,15,13774,487914
inst_12_625_78_32.jld2,16,16058,490473
inst_13_625_78_32.jld2,1,39124,500433
inst_13_625_78_32.jld2,2,34974,501278
inst_13_625_78_32.jld2,3,24436,502731
inst_13_625_78_32.jld2,4,22974,501696
inst_13_625_78_32.jld2,5,19913,507396
inst_13_625_78_32.jld2,6,18313,500259
inst_13_625_78_32.jld2,7,17900,490747
inst_13_625_78_32.jld2,8,16834,503414
inst_13_625_78_32.jld2,9,16691,500179
inst_13_625_78_32.jld2,10,15654,501794
inst_13_625_78_32.jld2,11,15363,497935
inst_13_625_78_32.jld2,12,15334,501404
inst_13_625_78_32.jld2,13,14907,502558
inst_13_625_78_32.jld2,14,14935,492846
inst_13_625_78_32.jld2,15,15206,503438
inst_13_625_78_32.jld2,16,14855,502464
inst_14_625_78_32.jld2,1,38588,499070
inst_14_625_78_32.jld2,2,33497,494926
inst_14_625_78_32.jld2,3,24344,500099
inst_14_625_78_32.jld2,4,23879,494109
inst_14_625_78_32.jld2,5,19018,500574
inst_14_625_78_32.jld2,6,19152,493629
inst_14_625_78_32.jld2,7,16425,501097
inst_14_625_78_32.jld2,8,16733,493753
inst_14_625_78_32.jld2,9,16472,488249
inst_14_625_78_32.jld2,10,15319,497845
inst_14_625_78_32.jld2,11,15156,502549
inst_14_625_78_32.jld2,12,15226,492148
inst_14_625_78_32.jld2,13,14565,498078
inst_14_625_78_32.jld2,14,14617,498104
inst_14_625_78_32.jld2,15,14753,495193
inst_14_625_78_32.jld2,16,14154,498451
inst_15_625_78_32.jld2,1,41485,514394
inst_15_625_78_32.jld2,2,35760,505117
inst_15_625_78_32.jld2,3,26784,510326
inst_15_625_78_32.jld2,4,24130,508029
inst_15_625_78_32.jld2,5,20549,504680
inst_15_625_78_32.jld2,6,19079,505844
inst_15_625_78_32.jld2,7,17680,509553
inst_15_625_78_32.jld2,8,18059,502366
inst_15_625_78_32.jld2,9,17169,503742
inst_15_625_78_32.jld2,10,16328,511340
inst_15_625_78_32.jld2,11,16163,506270
inst_15_625_78_32.jld2,12,16233,496536
inst_15_625_78_32.jld2,13,14449,512550
inst_15_625_78_32.jld2,14,15446,511104
inst_15_625_78_32.jld2,15,14480,504644
inst_15_625_78_32.jld2,16,14701,506446
inst_16_625_78_32.jld2,1,36740,500137
inst_16_625_78_32.jld2,2,32067,495456
inst_16_625_78_32.jld2,3,23695,498797
inst_16_625_78_32.jld2,4,22558,488064
inst_16_625_78_32.jld2,5,18534,487139
inst_16_625_78_32.jld2,6,18614,504754
inst_16_625_78_32.jld2,7,16163,501112
inst_16_625_78_32.jld2,8,16325,499046
inst_16_625_78_32.jld2,9,15885,502210
inst_16_625_78_32.jld2,10,15344,498297
inst_16_625_78_32.jld2,11,15032,492214
inst_16_625_78_32.jld2,12,14997,486760
inst_16_625_78_32.jld2,13,14805,488170
inst_16_625_78_32.jld2,14,14418,488413
inst_16_625_78_32.jld2,15,13900,495271
inst_16_625_78_32.jld2,16,14533,501147
inst_17_625_78_32.jld2,1,40182,489567
inst_17_625_78_32.jld2,2,34779,499059
inst_17_625_78_32.jld2,3,24773,491542
inst_17_625_78_32.jld2,4,23375,496920
inst_17_625_78_32.jld2,5,19991,488465
inst_17_625_78_32.jld2,6,19636,496044
inst_17_625_78_32.jld2,7,17328,491033
inst_17_625_78_32.jld2,8,17525,492748
inst_17_625_78_32.jld2,9,16284,498782
inst_17_625_78_32.jld2,10,15969,495256
inst_17_625_78_32.jld2,11,15909,489663
inst_17_625_78_32.jld2,12,15726,495073
inst_17_625_78_32.jld2,13,15319,498425
inst_17_625_78_32.jld2,14,14841,502289
inst_17_625_78_32.jld2,15,15030,494775
inst_17_625_78_32.jld2,16,15251,492676
inst_18_625_78_32.jld2,1,36573,486238
inst_18_625_78_32.jld2,2,33651,494054
inst_18_625_78_32.jld2,3,22962,484350
inst_18_625_78_32.jld2,4,22283,491120
inst_18_625_78_32.jld2,5,18844,484519
inst_18_625_78_32.jld2,6,18726,481896
inst_18_625_78_32.jld2,7,17481,484374
inst_18_625_78_32.jld2,8,16399,488975
inst_18_625_78_32.jld2,9,15668,491025
inst_18_625_78_32.jld2,10,15561,490833
inst_18_625_78_32.jld2,11,14953,487885
inst_18_625_78_32.jld2,12,15433,482984
inst_18_625_78_32.jld2,13,14951,487767
inst_18_625_78_32.jld2,14,14618,491771
inst_18_625_78_32.jld2,15,14478,484966
inst_18_625_78_32.jld2,16,14232,488019
inst_19_625_78_32.jld2,1,38945,499394
inst_19_625_78_32.jld2,2,32723,484275
inst_19_625_78_32.jld2,3,24487,493668
inst_19_625_78_32.jld2,4,23389,494631
inst_19_625_78_32.jld2,5,18905,488340
inst_19_625_78_32.jld2,6,18336,498093
inst_19_625_78_32.jld2,7,16366,503755
inst_19_625_78_32.jld2,8,17431,495701
inst_19_625_78_32.jld2,9,15974,499786
inst_19_625_78_32.jld2,10,15507,487344
inst_19_625_78_32.jld2,11,14793,493468
inst_19_625_78_32.jld2,12,15274,489996
inst_19_625_78_32.jld2,13,14501,487480
inst_19_625_78_32.jld2,14,14662,493832
inst_19_625_78_32.jld2,15,14520,495658
inst_19_625_78_32.jld2,16,14347,496639
inst_1_625_78_32.jld2,1,41186,502549
inst_1_625_78_32.jld2,2,37682,505433
inst_1_625_78_32.jld2,3,25231,502812
inst_1_625_78_32.jld2,4,25072,508584
inst_1_625_78_32.jld2,5,20266,502591
inst_1_625_78_32.jld2,6,18149,503392
inst_1_625_78_32.jld2,7,17745,505720
inst_1_625_78_32.jld2,8,18030,501343
inst_1_625_78_32.jld2,9,16076,507039
inst_1_625_78_32.jld2,10,15991,506286
inst_1_625_78_32.jld2,11,15357,498255
inst_1_625_78_32.jld2,12,15487,502192
inst_1_625_78_32.jld2,13,15231,502369
inst_1_625_78_32.jld2,14,15341,498314
inst_1_625_78_32.jld2,15,14477,500871
inst_1_625_78_32.jld2,16,15397,507471
inst_20_625_78_32.jld2,1,37814,486625
inst_20_625_78_32.jld2,2,33639,491012
inst_20_625_78_32.jld2,3,25818,486562
inst_20_625_78_32.jld2,4,22877,490408
inst_20_625_78_32.jld2,5,19435,493053
inst_20_625_78_32.jld2,6,20656,493373
inst_20_625_78_32.jld2,7,18364,485017
inst_20_625_78_32.jld2,8,17034,484151
inst_20_625_78_32.jld2,9,16565,495961
inst_20_625_78_32.jld2,10,16748,486815
inst_20_625_78_32.jld2,11,15932,488409
inst_20_625_78_32.jld2,12,14500,481263
inst_20_625_78_32.jld2,13,15335,478936
inst_20_625_78_32.jld2,14,15323,492218
inst_20_625_78_32.jld2,15,15010,483427
inst_20_625_78_32.jld2,16,14748,477559
inst_2_625_78_32.jld2,1,40219,508064
inst_2_625_78_32.jld2,2,34215,505928
inst_2_625_78_32.jld2,3,24596,499987
inst_2_625_78_32.jld2,4,22624,508255
inst_2_625_78_32.jld2,5,19027,508688
inst_2_625_78_32.jld2,6,18695,509239
inst_2_625_78_32.jld2,7,17525,510327
inst_2_625_78_32.jld2,8,15784,512511
inst_2_625_78_32.jld2,9,15632,514311
inst_2_625_78_32.jld2,10,15753,507598
inst_2_625_78_32.jld2,11,15686,512738
inst_2_625_78_32.jld2,12,16183,509291
inst_2_625_78_32.jld2,13,14925,510406
inst_2_625_78_32.jld2,14,14693,507849
inst_2_625_78_32.jld2,15,15122,511459
inst_2_625_78_32.jld2,16,14243,514121
inst_3_625_78_32.jld2,1,35765,485995
inst_3_625_78_32.jld2,2,31213,478439
inst_3_625_78_32.jld2,3,22328,487103
inst_3_625_78_32.jld2,4,21287,490539
inst_3_625_78_32.jld2,5,17481,489363
inst_3_625_78_32.jld2,6,17412,485751
inst_3_625_78_32.jld2,7,15639,487978
inst_3_625_78_32.jld2,8,16700,483453
inst_3_625_78_32.jld2,9,16321,476482
inst_3_625_78_32.jld2,10,14800,487569
inst_3_625_78_32.jld2,11,14119,491270
inst_3_625_78_32.jld2,12,14517,477994
inst_3_625_78_32.jld2,13,14349,490175
inst_3_625_78_32.jld2,14,14314,479680
inst_3_625_78_32.jld2,15,14094,492575
inst_3_625_78_32.jld2,16,14458,481218
inst_4_625_78_32.jld2,1,37520,494118
inst_4_625_78_32.jld2,2,33139,491124
inst_4_625_78_32.jld2,3,24189,496492
inst_4_625_78_32.jld2,4,22041,500995
